Review_Artifact,Source_Gate,Source_Segments,Snapshot_Path,Summary_Path,Freshness_Status,Snapshot_Rows,Expected_Snapshot_Rows,Mismatch_Items,Detail,Report_Only,Production_Authority,No_Auto_Promotion,Automatic_Decision_Allowed,Freshness_Version
CONFIRMED_LINEUP_REVIEW,data/lineup_k_walkforward_gate.csv,data/lineup_k_walkforward_segments.csv,data/confirmed_lineup_review_snapshot.csv,data/confirmed_lineup_review_summary.csv,CURRENT,25,25,0,Saved review snapshot and summary exactly reproduce from the current frozen gate and segment sources.,True,NONE,True,False,research-review-snapshot-freshness-v1-report-only
UMPIRE_CONTEXT_REVIEW,data/umpire_k_live_validation_gate.csv,data/umpire_k_live_validation_segments.csv,data/umpire_context_review_snapshot.csv,data/umpire_context_review_summary.csv,CURRENT,27,27,0,Saved review snapshot and summary exactly reproduce from the current frozen gate and segment sources.,True,NONE,True,False,research-review-snapshot-freshness-v1-report-only
