Game_Date,Pitcher,team,opponent,Target_Label,Projection,Actual_K,Projection_Headroom,Actual_Margin,Ladder_Win,Crusher_Event,Mega_Crusher_Event,Raw_Path_Target_Probability,Confidence,Data_Quality,Data_Quality_Bucket,Headroom_Bucket,Opponent_K_Bucket,Lineup_State,Weather_Risk,Leash_Label,Starter_Role,Production_Authority,Report_Only,Crusher_Version
2026-08-12,Rhett Lowder,CIN,CHW,4+,4.845516739681388,4.0,0.8455167396813881,0.0,True,False,False,0.7146911893864759,HIGH,70,50-74,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Luis Castillo,CHW,CIN,5+,5.077414760392842,10.0,0.07741476039284212,5.0,True,True,True,0.5781477995191002,HIGH,71,50-74,0.00-0.24,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Daniel Lynch IV,KCR,LAD,3+,3.0354843043145308,3.0,0.03548430431453076,0.0,True,False,False,0.585581149144816,MEDIUM,48,<50,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,TIGHT,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Eric Lauer,LAD,KCR,4+,4.161318077633911,6.0,0.16131807763391137,2.0,True,True,False,0.5905227218524004,HIGH,66,50-74,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Cal Quantrill,TEX,LAA,4+,4.138202343473262,6.0,0.138202343473262,2.0,True,True,False,0.5966460225586075,HIGH,79,75-89,0.00-0.24,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,George Klassen,LAA,TEX,3+,3.858255496642796,5.0,0.858255496642796,2.0,True,True,False,0.7510696755503042,MEDIUM,48,<50,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Jack Perkins,ATH,TBR,4+,4.615237274528287,2.0,0.6152372745282868,-2.0,False,False,False,0.6874455108675821,HIGH,65,50-74,0.50-0.74,LOW_K_<22,CONFIRMED,UNKNOWN,TIGHT,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Adrian Houser,SFG,HOU,3+,3.824028402427333,5.0,0.824028402427333,2.0,True,True,False,0.7300883203944719,HIGH,65,50-74,0.75-0.99,LOW_K_<22,CONFIRMED,UNKNOWN,TIGHT,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Bryan King,HOU,SFG,5+,5.231113000659757,1.0,0.23111300065975726,-4.0,False,False,False,0.603973067218526,MEDIUM,46,<50,0.00-0.24,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-12,Jackson Kent,WSH,CHC,4+,4.987131452321712,6.0,0.9871314523217123,2.0,True,True,False,0.7394318022521018,MEDIUM,46,<50,0.75-0.99,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-13,Parker Messick,CLE,DET,5+,5.693249422713524,6.0,0.6932494227135244,1.0,True,False,False,0.6817082446781169,HIGH,78,75-89,0.50-0.74,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Keider Montero,DET,CLE,4+,4.214743913149588,0.0,0.2147439131495883,-4.0,False,False,False,0.6127918225051716,HIGH,72,50-74,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Braxton Ashcraft,PIT,MIA,5+,5.249966977526226,10.0,0.24996697752622588,5.0,True,True,True,0.6117813829636738,HIGH,78,75-89,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Tyler Phillips,MIA,PIT,3+,3.866392782415895,6.0,0.866392782415895,3.0,True,True,True,0.7371262467118302,HIGH,64,50-74,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
