slate_date,event_id,commence_time,home_team,away_team,player_id,pitcher,market,side,point,price,bookmaker_id,book,provider,book_last_updated_at,deeplink,fetched_at_utc
2026-08-19,krTgusjOXEbQBTK3u6bJ,2026-08-19T23:40:00+00:00,Milwaukee Brewers,Seattle Mariners,LOGAN_GILBERT_1_MLB,Logan Gilbert,pitcher_strikeouts,Over,6.5,105.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:39:46.190Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,krTgusjOXEbQBTK3u6bJ,2026-08-19T23:40:00+00:00,Milwaukee Brewers,Seattle Mariners,LOGAN_GILBERT_1_MLB,Logan Gilbert,pitcher_strikeouts,Under,6.5,-150.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:39:46.190Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,CADE_CAVALLI_1_MLB,Cade Cavalli,pitcher_hits_allowed,Over,4.5,-150.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,CADE_CAVALLI_1_MLB,Cade Cavalli,pitcher_hits_allowed,Under,4.5,105.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,CADE_CAVALLI_1_MLB,Cade Cavalli,pitcher_outs,Over,17.5,-150.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,CADE_CAVALLI_1_MLB,Cade Cavalli,pitcher_outs,Under,17.5,105.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,KUMAR_ROCKER_1_MLB,Kumar Rocker,pitcher_outs,Over,15.5,-115.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,KUMAR_ROCKER_1_MLB,Kumar Rocker,pitcher_outs,Under,15.5,-130.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,KUMAR_ROCKER_1_MLB,Kumar Rocker,pitcher_hits_allowed,Over,4.5,-120.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
2026-08-19,zRcTOgC9A3O8i2gTYexq,2026-08-20T00:05:00+00:00,Texas Rangers,Washington Nationals,KUMAR_ROCKER_1_MLB,Kumar Rocker,pitcher_hits_allowed,Under,4.5,-120.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:40:10.010Z,,2026-08-19T23:41:59.192878+00:00
