Season,Metric,Evaluated_Starts,Global_v2_MAE,V23_MAE,V25_MAE,Global_v2_Bias,V23_Bias,V25_Bias,Relative_MAE_vs_Global_v2,Relative_MAE_vs_v23,V25_Adjusted_Starts,V25_Win_Share_vs_v23,Earned_TIGHT_Starts,Guarded_TIGHT_Starts,V25_Status,Candidate_Version
2024,PITCHES,1456,8.535224171643453,8.49233255019062,8.48409771676244,0.9900809369061208,1.134753760205133,1.1955367272381001,0.0059900541395116625,0.0009696786341692208,59,0.559322033898305,59,160,MIXED,workload-v2.5-tight-metric-evidence-gate
2024,BF,1456,2.6094777813759844,2.605827157697268,2.6061705642906747,0.3199715736337365,0.35951328866095583,0.36397757437524153,0.0012673865663518978,-0.00013178410256127224,13,0.46153846153846156,13,206,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,OUTS,1456,2.8285677175863184,2.8304307833484508,2.8304307833484508,0.3017941767653732,0.34313163704655203,0.34313163704655203,-0.0006586604770141939,0.0,0,,0,219,GUARDED,workload-v2.5-tight-metric-evidence-gate
2025,PITCHES,1963,8.464346342823884,8.393282188658873,8.360480776722229,0.6183817040223542,0.8208981405333285,0.9803728333963034,0.012270949450185597,0.003908055418530517,210,0.6047619047619047,210,153,MIXED,workload-v2.5-tight-metric-evidence-gate
2025,BF,1963,2.5570283047600952,2.5478163611565248,2.5486435924512754,0.18235705548184927,0.25283219152017267,0.2681149220346912,0.003279084667624179,-0.00032468246431037646,60,0.48333333333333334,60,303,MIXED,workload-v2.5-tight-metric-evidence-gate
2025,OUTS,1963,2.793754091578781,2.782535874586022,2.7826424824273546,0.13895124595607133,0.21875255946099173,0.23580487169625766,0.003977303938424656,-3.831319563791816e-05,67,0.5074626865671642,67,296,MIXED,workload-v2.5-tight-metric-evidence-gate
2026,PITCHES,2032,8.843416594021294,8.737467769741398,8.66999397625882,0.028145628019562163,0.3137656885651055,0.5440806491950267,0.019610363926507668,0.007722351058764006,312,0.6538461538461539,312,154,MIXED,workload-v2.5-tight-metric-evidence-gate
2026,BF,2032,2.670951263970515,2.657797199795304,2.6528159845064923,-0.01710540189285028,0.0510601365701986,0.11640371425152345,0.0067898204316403435,0.001874189381039008,312,0.5512820512820513,312,154,MIXED,workload-v2.5-tight-metric-evidence-gate
2026,OUTS,2032,2.7457689462185018,2.732997605606973,2.729408685692155,0.046668407851413934,0.11537987796809852,0.16861745753880913,0.00595835295933344,0.0013131807753710707,312,0.5416666666666666,312,154,MIXED,workload-v2.5-tight-metric-evidence-gate
