Season,Leash,Metric,Evaluated_Starts,Global_v2_MAE,V23_MAE,V25_MAE,Global_v2_Bias,V23_Bias,V25_Bias,Relative_MAE_vs_Global_v2,Relative_MAE_vs_v23,V25_Adjusted_Starts,V25_Win_Share_vs_v23,Earned_TIGHT_Starts,Guarded_TIGHT_Starts,V25_Status,Candidate_Version
2024,LONG,PITCHES,111,8.755794350623365,8.755794350623365,8.755794350623365,5.066094027637145,5.066094027637145,5.066094027637145,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,LONG,BF,111,2.6882439642701583,2.6882439642701583,2.6882439642701583,1.4089108053928696,1.4089108053928696,1.4089108053928696,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,LONG,OUTS,111,3.3092869843667874,3.3092869843667874,3.3092869843667874,1.1370498125329473,1.1370498125329473,1.1370498125329473,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,NORMAL,PITCHES,1126,7.9788809167435915,7.9788809167435915,7.9788809167435915,1.4611847451239832,1.4611847451239832,1.4611847451239832,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,NORMAL,BF,1126,2.5155342362074986,2.5155342362074986,2.5155342362074986,0.40625052468315653,0.40625052468315653,0.40625052468315653,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,NORMAL,OUTS,1126,2.7636507700735278,2.7636507700735278,2.7636507700735278,0.3364355748713004,0.3364355748713004,0.3364355748713004,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,TIGHT,PITCHES,219,11.283896386942414,10.998735652534528,10.94398717092983,-3.498048474621079,-2.536205411957326,-2.1320958229162303,0.03012339039251752,0.004977706832337709,59,0.559322033898305,59,160,HELPING,workload-v2.5-tight-metric-evidence-gate
2024,TIGHT,BF,219,3.052570866117816,3.0283000529844317,3.0305831580072624,-0.6755642875850337,-0.41267507717575846,-0.3829947118789548,0.007203013156748406,-0.00075392298744659,13,0.46153846153846156,13,206,GUARDED,workload-v2.5-tight-metric-evidence-gate
2024,TIGHT,OUTS,219,2.9186893809962253,2.9310757908120486,2.9310757908120486,-0.29966513756099566,-0.02483709112539554,-0.02483709112539554,-0.004243825977670662,0.0,0,,0,219,GUARDED,workload-v2.5-tight-metric-evidence-gate
2025,LONG,PITCHES,85,8.105351960888434,8.105351960888434,8.105351960888434,5.660996075029934,5.660996075029934,5.660996075029934,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
