game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Matchup_PA,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Applied_Projection,Matchup_Adjustment_K,Adjustment_Direction,Actual_Strikeouts,Candidate_Action,Candidate_Adjustment_K,Candidate_Changed,Candidate_Projection,Applied_Absolute_Error,Candidate_Absolute_Error,Neutral_Absolute_Error,Applied_Error,Candidate_Error,Neutral_Error,Candidate_Win_vs_Applied,Applied_Win_vs_Candidate,Candidate_Applied_Tie,Evidence_Lane,Counts_For_Promotion,Frozen_Boost_Cap_K,Weak_Reduce_Delta_Min_PP,Weak_Reduce_Delta_Max_PP,Derivation_Cutoff_Date,Report_Only,Production_Authority,Validation_Version
2026-08-12,823833,676083,Janson Junk,MIA,PIT,0.2193068421228486,-0.4693157877151382,2014.0,CONFIRMED,68,60–69,4.225222295652576,4.180725412905703,-0.0444968827468725,REDUCE,2.0,WEAK_REDUCE_NEUTRALIZED,0.0,True,4.225222295652576,2.180725412905703,2.225222295652576,2.225222295652576,2.180725412905703,2.225222295652576,2.225222295652576,False,True,False,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,823511,682243,Bryce Miller,SEA,NYY,0.242949088134427,1.8949088134427028,2035.0,CONFIRMED,64,60–69,5.265121560506034,5.483300285566592,0.2181787250605582,BOOST,5.0,BOOST_CAPPED,0.1,True,5.365121560506034,0.48330028556659244,0.36512156050603384,0.2651215605060342,0.48330028556659244,0.36512156050603384,0.2651215605060342,True,False,False,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,823511,701542,Will Warren,NYY,SEA,0.2113687840942258,-1.263121590577421,2497.0,CONFIRMED,77,70–79,4.972869309678978,4.830626519208324,-0.1422427904706538,REDUCE,3.0,STRONG_REDUCE_UNCHANGED,-0.1422427904706538,False,4.830626519208324,1.830626519208324,1.830626519208324,1.9728693096789778,1.830626519208324,1.830626519208324,1.9728693096789778,False,False,True,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,822779,624133,Ranger Suarez,BOS,TOR,0.2077720985627994,-1.6227901437200545,719.0,CONFIRMED,74,70–79,4.64922890509325,4.477654017973988,-0.1715748871192621,REDUCE,2.0,STRONG_REDUCE_UNCHANGED,-0.1715748871192621,False,4.477654017973988,2.477654017973988,2.477654017973988,2.64922890509325,2.477654017973988,2.477654017973988,2.64922890509325,False,False,True,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,822779,667755,José Soriano,TOR,BOS,0.2035276277449431,-2.047237225505688,2354.0,CONFIRMED,78,70–79,5.166943577863003,4.925171926160614,-0.2417716517023889,REDUCE,4.0,STRONG_REDUCE_UNCHANGED,-0.2417716517023889,False,4.925171926160614,0.9251719261606137,0.9251719261606137,1.1669435778630026,0.9251719261606137,0.9251719261606137,1.1669435778630026,False,False,True,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,824883,804267,Zac Thornton,NYM,ATL,0.2116104975607014,-1.238950243929854,1324.0,CONFIRMED,54,<60,4.562869059349587,4.434887433347578,-0.1279816260020085,REDUCE,2.0,STRONG_REDUCE_UNCHANGED,-0.1279816260020085,False,4.434887433347578,2.434887433347578,2.434887433347578,2.5628690593495866,2.434887433347578,2.434887433347578,2.5628690593495866,False,False,True,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,824562,695076,Rhett Lowder,CIN,CHW,0.2430011806749064,1.900118067490644,2198.0,CONFIRMED,70,70–79,4.65221648170295,4.845516739681388,0.1933002579784384,BOOST,4.0,BOOST_CAPPED,0.1,True,4.752216481702949,0.8455167396813881,0.7522164817029493,0.6522164817029497,0.8455167396813881,0.7522164817029493,0.6522164817029497,True,False,False,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,824562,622491,Luis Castillo,CHW,CIN,0.2435060277647861,1.9506027764786131,1814.0,CONFIRMED,71,70–79,4.869807478115292,5.077414760392842,0.2076072822775501,BOOST,10.0,BOOST_CAPPED,0.1,True,4.969807478115292,4.922585239607158,5.030192521884708,5.130192521884708,-4.922585239607158,-5.030192521884708,-5.130192521884708,False,True,False,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,823916,663738,Daniel Lynch IV,KCR,LAD,0.197503221301007,-2.649677869899297,1060.0,CONFIRMED,48,<60,3.232696321613808,3.0354843043145308,-0.1972120172992766,REDUCE,3.0,STRONG_REDUCE_UNCHANGED,-0.1972120172992766,False,3.0354843043145308,0.03548430431453076,0.03548430431453076,0.23269632161380782,0.03548430431453076,0.03548430431453076,0.23269632161380782,False,False,True,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
2026-08-12,823916,641778,Eric Lauer,LAD,KCR,0.2108398025293156,-1.3160197470684394,927.0,CONFIRMED,66,60–69,4.28922295817079,4.161318077633911,-0.1279048805368789,REDUCE,6.0,STRONG_REDUCE_UNCHANGED,-0.1279048805368789,False,4.161318077633911,1.8386819223660886,1.8386819223660886,1.7107770418292096,-1.8386819223660886,-1.8386819223660886,-1.7107770418292096,False,False,True,DERIVATION_BACKTEST,False,0.1,-1.0,-0.25,2026-08-17,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
