Metric,Evaluated_Starts,Workload_MAE,Workload_RMSE,Workload_Bias,Rolling5_MAE,Rolling5_RMSE,Rolling5_Bias,SeasonToDate_Starts,SeasonToDate_MAE,Relative_MAE_vs_Rolling5,Relative_MAE_vs_SeasonToDate,Workload_Win_Share_vs_Rolling5,Status
PITCHES,1657,9.202079709611539,12.702596571357208,-0.7506299619330997,9.655682961174813,13.31169643532283,-0.39203379601689786,1575,9.286959111139318,0.04697785266844389,0.009139633383974919,0.5395292697646349,HELPING
BF,1657,2.715650730148884,3.627289107826212,-0.3117946114713018,2.8805672902836448,3.8457436885738487,-0.1605310802655401,1575,2.7894468784887803,0.057251417347907736,0.0264554772162846,0.5630657815328908,HELPING
OUTS,1657,2.768502523991478,3.6286493751519604,-0.2036586461159621,2.9371756185878093,3.8441089483676363,-0.14817944075638703,1575,2.892814489949514,0.057426969476693776,0.04297267121342626,0.5642727821363911,HELPING
