Season,Leash,Metric,Evaluated_Starts,Workload_v1_MAE,Global_v2_MAE,Leash_v21_MAE,Leash_v21_RMSE,Global_v2_Bias,Leash_v21_Bias,Relative_MAE_vs_Workload_v1,Relative_MAE_vs_Global_v2,Leash_Adjusted_Starts,Leash_Win_Share_vs_Workload_v1,Leash_Win_Share_vs_Global_v2,Leash_Status,Candidate_Version
2025,LONG,PITCHES,66,7.886273265417129,8.354093760606487,8.117314942176343,11.339829663944853,5.883025815072879,4.872230234526451,-0.029296686658370933,0.028342849052840256,36,0.5555555555555556,0.6111111111111112,HELPING,workload-v2.1-leash-candidate
2025,LONG,BF,66,2.056415840771652,2.1919946144015965,2.172154612238489,2.6807298973101488,1.0257643556011082,0.8132428793378055,-0.05628179338640331,0.009051118115326004,36,0.4722222222222222,0.5555555555555556,HELPING,workload-v2.1-leash-candidate
2025,LONG,OUTS,66,2.5539568482877093,2.6040361676410737,2.5660563075695966,3.4499285260411727,1.1172256905841935,0.9044340229265151,-0.004737534735561138,0.014584997145366867,36,0.6111111111111112,0.6111111111111112,HELPING,workload-v2.1-leash-candidate
2025,NORMAL,PITCHES,1343,7.935282395775195,7.7882251360754635,7.88756303403686,11.17038276935676,1.3784467403857876,0.5447594218250746,0.0060135681829976565,-0.012754882688387863,1311,0.5408085430968727,0.45537757437070936,MIXED,workload-v2.1-leash-candidate
2025,NORMAL,BF,1343,2.4521121412674267,2.4415353271075677,2.451081777879636,3.2587656783121806,0.3431487492611904,0.1597820948520886,0.000420194236001803,-0.003910019513572986,1311,0.5141113653699466,0.5049580472921434,MIXED,workload-v2.1-leash-candidate
2025,NORMAL,OUTS,1343,2.709901514313357,2.705532358369131,2.7176363967407617,3.557672768554386,0.27726950460366856,0.12592707359996613,-0.002854303887632056,-0.004473810240778954,1311,0.4874141876430206,0.4843630816170862,MIXED,workload-v2.1-leash-candidate
2025,TIGHT,PITCHES,311,11.651625466535833,11.170482004512822,10.705064013119577,13.891454631994396,-3.8434547318973147,-2.4319440892070054,0.0812385753502666,0.04166498734837213,280,0.6821428571428572,0.6714285714285714,HELPING,workload-v2.1-leash-candidate
2025,TIGHT,BF,311,3.1202691219885783,3.0610681106657767,3.002523200606263,3.9175338376433055,-0.7844816391782223,-0.2928583986725117,0.0377358223854981,0.019125647631140115,280,0.575,0.5607142857142857,HELPING,workload-v2.1-leash-candidate
2025,TIGHT,OUTS,311,3.15452663037399,3.11677943057084,3.030539319386419,3.875384550230326,-0.8665701658255052,-0.2662974207814953,0.039304569438005144,0.02766962279670395,280,0.5785714285714286,0.5714285714285714,HELPING,workload-v2.1-leash-candidate
2026,LONG,PITCHES,44,7.135816413625431,7.359800611276708,7.326226974529254,10.042783588084722,3.745503877941921,3.414029481474208,-0.026683780785089272,0.004561759009614033,14,0.5714285714285714,0.5714285714285714,LEARNING,workload-v2.1-leash-candidate
2026,LONG,BF,44,2.5439952532047316,2.5692972965413023,2.5653948995988127,3.1361046455315664,0.2463112376082327,0.2298517692764668,-0.008411826384944488,0.001518857684450486,14,0.35714285714285715,0.6428571428571429,LEARNING,workload-v2.1-leash-candidate
2026,LONG,OUTS,44,2.7739979825062377,2.7248814233048626,2.728048928101465,3.6320486687171214,-0.4405404403637443,-0.3871701599850716,0.016564198926799185,-0.0011624376640802666,14,0.5,0.5,LEARNING,workload-v2.1-leash-candidate
2026,NORMAL,PITCHES,1253,8.702760638271204,8.644208825900463,8.751742020554468,12.523012848987568,0.8790540396956217,0.2506703166702395,-0.005628258011356062,-0.012439911716594067,1218,0.47619047619047616,0.42528735632183906,MIXED,workload-v2.1-leash-candidate
2026,NORMAL,BF,1253,2.660775068071564,2.636995197996559,2.6474034459710656,3.6343991403865643,0.10911042111042328,0.09023555786832804,0.005025461287935831,-0.003947010590847599,1218,0.5254515599343186,0.46551724137931033,MIXED,workload-v2.1-leash-candidate
2026,NORMAL,OUTS,1253,2.804228552903017,2.796170834374757,2.8065257941695454,3.7303618365624867,0.12329547163726885,0.07825133445405609,-0.0008192061464285276,-0.003703264359777199,1218,0.5090311986863711,0.4720853858784893,MIXED,workload-v2.1-leash-candidate
2026,TIGHT,PITCHES,361,11.369711103999132,11.208959036693116,10.410887320793181,13.58779124450535,-4.7728575459396705,-2.698436925505045,0.08433141127646578,0.071199449769368,330,0.706060606060606,0.703030303030303,HELPING,workload-v2.1-leash-candidate
2026,TIGHT,BF,361,2.9764259571173333,2.9306162815340087,2.865553462597929,3.7637940275842974,-0.7839412463412133,-0.47008371179717484,0.03725021086255548,0.022201070589160495,330,0.603030303030303,0.6181818181818182,HELPING,workload-v2.1-leash-candidate
2026,TIGHT,OUTS,361,2.6782210274470417,2.661957598581766,2.607393929663167,3.323542471400014,-0.6352900015826198,-0.3410735527297298,0.02644557602155383,0.020497572518686794,330,0.5818181818181818,0.6121212121212121,HELPING,workload-v2.1-leash-candidate
