game_date,game_pk,pitcher_id,player,team,opponent,Lineup_Source,Lineup_Captured_At_UTC,Game_Time_UTC,Lineage,Authentic_Pregame_Pair,OOS_Eligible,Preconfirm_Projection,Confirmed_Projection,Projection_Delta,Actual_Strikeouts,Materiality_Action,Materiality_Projection,Materiality_Changed,Preconfirm_Absolute_Error,Confirmed_Absolute_Error,Materiality_Absolute_Error,Preconfirm_Error,Confirmed_Error,Materiality_Error,Materiality_Win_vs_Confirmed,Confirmed_Win_vs_Materiality,Materiality_Confirmed_Tie,Evidence_Lane,Counts_For_Promotion,Frozen_Materiality_K,Derivation_Cutoff_Date,Report_Only,Production_Authority,Validation_Version
2026-08-13,823669,671737,Taj Bradley,MIN,PHI,CONFIRMED_LINEUP,2026-08-13 22:26:19.014915+00:00,2026-08-13 23:30:00+00:00,PRE_GAME_CAPTURE,True,True,5.49593085591098,5.521771862741471,0.0258410068304915,3.0,REVERT_IMMATERIAL_TO_PRECONFIRM,5.49593085591098,True,2.49593085591098,2.5217718627414714,2.49593085591098,2.49593085591098,2.5217718627414714,2.49593085591098,True,False,False,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-13,823995,594798,Jacob deGrom,TEX,LAA,CONFIRMED_LINEUP,2026-08-14 01:37:16.058216+00:00,2026-08-14 02:07:00+00:00,PRE_GAME_CAPTURE,True,True,5.728644452405052,5.515084930170935,-0.2135595222341173,3.0,APPLY_CONFIRMED_MATERIAL,5.515084930170935,False,2.728644452405052,2.515084930170935,2.515084930170935,2.728644452405052,2.515084930170935,2.515084930170935,False,False,True,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-13,823995,700712,Walbert Ureña,LAA,TEX,CONFIRMED_LINEUP,2026-08-14 01:37:16.475988+00:00,2026-08-14 02:07:00+00:00,PRE_GAME_CAPTURE,True,True,4.773813957279724,4.713297608881091,-0.0605163483986324,5.0,REVERT_IMMATERIAL_TO_PRECONFIRM,4.773813957279724,True,0.22618604272027643,0.28670239111890883,0.22618604272027643,-0.22618604272027643,-0.28670239111890883,-0.22618604272027643,True,False,False,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-13,823915,675660,Shane Drohan,MIL,LAD,CONFIRMED_LINEUP,2026-08-13 22:26:19.921287+00:00,2026-08-14 02:10:00+00:00,PRE_GAME_CAPTURE,True,True,4.80784665801591,5.09499132605994,0.2871446680440304,5.0,APPLY_CONFIRMED_MATERIAL,5.09499132605994,False,0.19215334198409018,0.0949913260599402,0.0949913260599402,-0.19215334198409018,0.0949913260599402,0.0949913260599402,False,False,True,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-13,823915,808963,Roki Sasaki,LAD,MIL,CONFIRMED_LINEUP,2026-08-14 01:37:16.859510+00:00,2026-08-14 02:10:00+00:00,PRE_GAME_CAPTURE,True,True,5.226919830402448,5.157072926337631,-0.0698469040648168,2.0,REVERT_IMMATERIAL_TO_PRECONFIRM,5.226919830402448,True,3.226919830402448,3.157072926337631,3.226919830402448,3.226919830402448,3.157072926337631,3.226919830402448,False,True,False,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-14,824643,669461,Matthew Liberatore,STL,CHC,CONFIRMED_LINEUP,2026-08-14 17:12:13.892920+00:00,2026-08-14 18:20:00+00:00,PRE_GAME_CAPTURE,True,True,4.762040130344021,4.807385909419322,0.0453457790753013,6.0,REVERT_IMMATERIAL_TO_PRECONFIRM,4.762040130344021,True,1.2379598696559793,1.192614090580678,1.2379598696559793,-1.2379598696559793,-1.192614090580678,-1.2379598696559793,False,True,False,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-14,824643,605280,Clay Holmes,CHC,STL,CONFIRMED_LINEUP,2026-08-14 16:09:02.668564+00:00,2026-08-14 18:20:00+00:00,PRE_GAME_CAPTURE,True,True,4.26198933769421,4.24889813214706,-0.0130912055471501,3.0,REVERT_IMMATERIAL_TO_PRECONFIRM,4.26198933769421,True,1.2619893376942102,1.24889813214706,1.2619893376942102,1.2619893376942102,1.24889813214706,1.2619893376942102,False,True,False,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-14,824479,645261,Sandy Alcantara,MIA,CIN,CONFIRMED_LINEUP,2026-08-14 18:48:38.165263+00:00,2026-08-14 22:10:00+00:00,PRE_GAME_CAPTURE,True,True,5.940118523993084,5.969322268750199,0.0292037447571154,2.0,REVERT_IMMATERIAL_TO_PRECONFIRM,5.940118523993084,True,3.9401185239930836,3.969322268750199,3.9401185239930836,3.9401185239930836,3.969322268750199,3.9401185239930836,True,False,False,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-14,824479,695505,Chase Burns,CIN,MIA,CONFIRMED_LINEUP,2026-08-14 19:41:09.335294+00:00,2026-08-14 22:10:00+00:00,PRE_GAME_CAPTURE,True,True,5.3976443786842,5.558449164509395,0.1608047858251948,8.0,APPLY_CONFIRMED_MATERIAL,5.558449164509395,False,2.6023556213158,2.441550835490605,2.441550835490605,-2.6023556213158,-2.441550835490605,-2.441550835490605,False,False,True,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
2026-08-14,823346,687562,Jake Bennett,BOS,PIT,CONFIRMED_LINEUP,2026-08-14 19:41:09.780861+00:00,2026-08-14 22:40:00+00:00,PRE_GAME_CAPTURE,True,True,5.184746568288318,5.136651373886729,-0.048095194401589,6.0,REVERT_IMMATERIAL_TO_PRECONFIRM,5.184746568288318,True,0.8152534317116817,0.8633486261132708,0.8152534317116817,-0.8152534317116817,-0.8633486261132708,-0.8152534317116817,True,False,False,DERIVATION_BACKTEST,False,0.15,2026-08-17,True,NONE,lineup-materiality-shadow-v1
