Evidence_Lane,Evidence_Status,Starts,Observed_Days,Distinct_Opponents,Changed_Starts,Boost_Capped_Starts,Weak_Reduce_Neutralized_Starts,Applied_MAE,Candidate_MAE,Neutral_MAE,Candidate_Relative_MAE_vs_Applied,Candidate_Relative_MAE_vs_Neutral,Changed_Applied_MAE,Changed_Candidate_MAE,Changed_Relative_MAE_vs_Applied,Changed_Win_Share_vs_Applied,Applied_Win_Share_vs_Candidate,Changed_Tie_Share,Applied_Bias,Candidate_Bias,Neutral_Bias,Candidate_Bias_Abs_Change_vs_Applied,Mean_Applied_Adjustment_K,Mean_Candidate_Adjustment_K,Frozen_Boost_Cap_K,Weak_Reduce_Delta_Min_PP,Weak_Reduce_Delta_Max_PP,Derivation_Cutoff_Date,Reason,Recommended_Action,Report_Only,Production_Authority,Validation_Version
DERIVATION_BACKTEST,DESCRIPTIVE_ONLY,135,6,30,44,25,19,1.7607161444890924,1.7566616683874232,1.7988494966619484,0.0023027426166105217,0.023452672584788996,1.9439078280867734,1.9314679582293812,0.00639941342776305,0.5,0.5,0.0,0.2340267769657237,0.22076443522294367,0.3209290362131604,-0.013262341742780015,-0.08690225924743662,-0.10016460099021655,0.1,-1.0,-0.25,2026-08-17,These rows predate the frozen composite challenger and cannot validate it.,FREEZE_COMPOSITE_AND_COLLECT_FORWARD_EVIDENCE,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
FORWARD_OOS,LEARNING,96,4,30,34,22,12,1.886820866901002,1.8911783513577232,1.92412356818056,-0.0023094319832693247,0.017122193900462226,1.7401395111157938,1.752442996640653,-0.007070401796100847,0.5294117647058824,0.47058823529411764,0.0,0.2282755555916104,0.20972059862692038,0.30055818183108723,-0.018554956964690006,-0.07228262623947673,-0.0908375832041667,0.1,-1.0,-0.25,2026-08-17,"Forward evidence is evaluated by the composite gate, including both changed components.",KEEP_COMPOSITE_FROZEN_AND_LEARN,True,NONE,opponent-matchup-asymmetric-response-shadow-v1
