game_date,pitcher_id,starter_role_label,projected_pitches,actual_pitches,projected_bf,actual_bf,projected_outs,actual_outs,runtime_state_version
2024-03-31,669432,ESTABLISHED,81.10041766882955,97.0,19.16435814382173,26.0,13.356889874966694,15.0,starter-role-runtime-state-v1
2024-03-31,672282,ESTABLISHED,96.31341901911519,88.0,23.616551379959382,21.0,16.253985744688336,15.0,starter-role-runtime-state-v1
2024-03-31,682243,ESTABLISHED,79.8197044499732,91.0,20.828491766438678,22.0,14.946885885213806,15.0,starter-role-runtime-state-v1
2024-03-31,694297,ESTABLISHED,83.88935640931984,87.0,21.94983890439252,21.0,15.043207604069547,15.0,starter-role-runtime-state-v1
2024-04-01,608379,ESTABLISHED,92.63060276031206,72.0,23.275087113717113,19.0,16.854923447327522,15.0,starter-role-runtime-state-v1
2024-04-01,640455,ESTABLISHED,87.12733825713772,88.0,21.193111171931122,20.0,14.70942183536378,18.0,starter-role-runtime-state-v1
2024-04-01,650911,ESTABLISHED,83.63606804035896,85.0,22.686007024676645,20.0,16.927750929987212,15.0,starter-role-runtime-state-v1
2024-04-01,665152,ESTABLISHED,90.26783841946417,85.0,22.181086162759698,22.0,15.567672229208238,16.0,starter-role-runtime-state-v1
2024-04-01,669022,ESTABLISHED,90.10194331311358,101.0,21.006919048893103,25.0,14.766053517480302,16.0,starter-role-runtime-state-v1
2024-04-01,671096,ESTABLISHED,80.64229057547414,90.0,19.83097322713416,21.0,13.603110581462989,16.0,starter-role-runtime-state-v1
2024-04-01,676106,RESTRICTED,62.04905858188482,81.0,15.830228437470822,23.0,11.664413970244578,16.0,starter-role-runtime-state-v1
2024-04-02,607536,RESTRICTED,71.19889559919565,76.0,21.763124211197095,23.0,14.565196048502628,10.0,starter-role-runtime-state-v1
2024-04-02,622491,ESTABLISHED,91.87756426204224,99.0,23.61960002095813,27.0,16.955751667031166,17.0,starter-role-runtime-state-v1
2024-04-02,657277,ESTABLISHED,97.93498371378382,96.0,25.744055084254743,20.0,19.862463887981708,11.0,starter-role-runtime-state-v1
2024-04-02,664285,ESTABLISHED,89.1444745183939,85.0,25.119789142804343,27.0,17.839643736781703,23.0,starter-role-runtime-state-v1
2024-04-02,666200,ESTABLISHED,89.53598531880925,93.0,22.45719092337536,20.0,16.57455020078462,16.0,starter-role-runtime-state-v1
2024-04-02,669456,ESTABLISHED,86.43138028389924,83.0,23.93818630054958,23.0,17.65946192978489,18.0,starter-role-runtime-state-v1
2024-04-03,518876,ESTABLISHED,89.02939350868367,91.0,23.57999880357847,26.0,18.048615935901005,21.0,starter-role-runtime-state-v1
2024-04-03,554430,ESTABLISHED,89.72699389871823,93.0,23.423805676439137,25.0,17.787054936588675,18.0,starter-role-runtime-state-v1
2024-04-03,605135,ESTABLISHED,95.23544228237392,91.0,25.333762076299376,24.0,18.716745274143584,13.0,starter-role-runtime-state-v1
2024-04-03,607074,ESTABLISHED,75.80109817535578,95.0,19.46587193811048,24.0,12.649659112164507,16.0,starter-role-runtime-state-v1
2024-04-03,615698,ESTABLISHED,90.16926015829107,90.0,23.090534578363595,19.0,15.402794727270724,12.0,starter-role-runtime-state-v1
2024-04-03,663776,ESTABLISHED,84.06556447803644,93.0,20.85733560263856,23.0,13.160080764375214,17.0,starter-role-runtime-state-v1
2024-04-03,664299,ESTABLISHED,89.96874872933995,97.0,21.622790644755852,20.0,15.429237436569593,15.0,starter-role-runtime-state-v1
2024-04-03,669923,ESTABLISHED,86.96345894888029,72.0,23.513886156439614,23.0,18.232811597201536,11.0,starter-role-runtime-state-v1
2024-04-03,690986,ESTABLISHED,80.71165578645751,87.0,21.016792085688113,23.0,15.346442740635958,15.0,starter-role-runtime-state-v1
