Quality_Tier,Metric,Resolved_Starts,MAE,RMSE,Bias,Mean_Quality_Score,Audit_Version
HIGH,STRIKEOUTS,41,1.9511875868583166,2.2676053033100363,0.5832424727425177,7.365853658536586,input-quality-v1-report-only
HIGH,HITS,41,1.8041404199265636,2.217217879885058,-0.01343130142122594,7.365853658536586,input-quality-v1-report-only
HIGH,OUTS,41,3.094296853789093,4.1231312851683715,0.06349500421245662,7.365853658536586,input-quality-v1-report-only
LOW,STRIKEOUTS,79,1.7679134356020947,2.2620728292882912,0.3568129991082063,0.1518987341772152,input-quality-v1-report-only
LOW,HITS,4,2.061783656031526,2.718454735746582,1.436304121541919,3.0,input-quality-v1-report-only
LOW,OUTS,4,5.417209767572225,6.52000644317553,0.5826402324277744,3.0,input-quality-v1-report-only
MEDIUM,STRIKEOUTS,3,2.1792938924675194,2.9182498300060837,-2.177489841258324,5.0,input-quality-v1-report-only
MEDIUM,HITS,3,2.348028916681822,2.6374936599812004,1.2801532118462153,5.0,input-quality-v1-report-only
MEDIUM,OUTS,3,4.157642355879887,4.813376235292735,-2.3798696268543016,5.0,input-quality-v1-report-only
