Season,Leash,Metric,Evaluated_Starts,Workload_v1_MAE,Global_v2_MAE,Tight_v22_MAE,Tight_v22_RMSE,Global_v2_Bias,Tight_v22_Bias,Relative_MAE_vs_Workload_v1,Relative_MAE_vs_Global_v2,Tight_Adjusted_Starts,Tight_Win_Share_vs_Workload_v1,Tight_Win_Share_vs_Global_v2,Tight_Status,Candidate_Version
2024,LONG,PITCHES,83,8.400878595651681,8.556182876639435,8.556182876639435,14.078418097168392,4.76787477895594,4.76787477895594,-0.018486671271280973,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2024,LONG,BF,83,2.325377826617038,2.4401026844298555,2.4401026844298555,3.666519883405347,1.360951426083028,1.360951426083028,-0.04933600746495435,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2024,LONG,OUTS,83,3.0506558312617496,3.1041072659585462,3.1041072659585462,4.12968937332277,1.0453571289491674,1.0453571289491674,-0.017521293011506057,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2024,NORMAL,PITCHES,968,8.06705682094479,7.9768155039371225,7.9768155039371225,11.90861205596063,1.611595973238083,1.611595973238083,0.011186399080935085,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2024,NORMAL,BF,968,2.4856713169960862,2.479451637790436,2.479451637790436,3.4259210060124605,0.46028830623627104,0.46028830623627104,0.0025022130492967083,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2024,NORMAL,OUTS,968,2.7120663024995446,2.699308612781,2.699308612781,3.6369772380597065,0.36727649973228815,0.36727649973228815,0.00470404787183361,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2024,TIGHT,PITCHES,200,11.566436062613395,11.050094059586993,10.597529690685757,13.578714581822714,-3.734011836000268,-2.422056147577271,0.08376879158649987,0.04095570286196736,169,0.6863905325443787,0.6804733727810651,HELPING,workload-v2.2-tight-only-candidate
2024,TIGHT,BF,200,3.1334908516187467,3.0164505051869965,2.9696091411096552,3.8889740108974595,-0.7870844846029555,-0.42796542708753393,0.05230004434971654,0.015528636719480168,169,0.591715976331361,0.5680473372781065,HELPING,workload-v2.2-tight-only-candidate
2024,TIGHT,OUTS,200,2.9536648357811806,2.880186830309289,2.8720566587405534,3.5678891916865516,-0.541710426186921,-0.12395259482928911,0.027629464268258307,0.0028227931199388805,169,0.5443786982248521,0.5266272189349113,HELPING,workload-v2.2-tight-only-candidate
2025,LONG,PITCHES,66,7.886273265417129,8.354093760606487,8.354093760606487,11.795555135420704,5.883025815072879,5.883025815072879,-0.059320857830382726,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
