Evidence_Lane,Evidence_Status,Starts,Observed_Days,Distinct_Opponents,Binding_Starts,Binding_Rate,Applied_MAE,Capped_MAE,Neutral_MAE,Capped_Relative_MAE_vs_Applied,Capped_Relative_MAE_vs_Neutral,Capped_Win_Share_vs_Applied,Applied_Win_Share_vs_Capped,Capped_Applied_Tie_Share,Capped_Win_Share_vs_Neutral,Neutral_Win_Share_vs_Capped,Capped_Neutral_Tie_Share,Applied_Bias,Capped_Bias,Neutral_Bias,Capped_Bias_Abs_Change_vs_Applied,Mean_Applied_Boost_K,Mean_Capped_Boost_K,Frozen_Cap_K,Derivation_Cutoff_Date,Reason,Recommended_Action,Report_Only,Production_Authority,Validation_Version
DERIVATION_BACKTEST,DESCRIPTIVE_ONLY,36,5,14,21,0.5833333333333334,1.8445367822957262,1.8289637573896087,1.8252996668431603,0.008442783605938793,-0.0020073912317014023,0.3333333333333333,0.25,0.4166666666666667,0.5,0.5,0.0,0.12445060153488408,0.05336202956680195,-0.03093976145761494,-0.07108857196808213,0.155390362992499,0.08430179102441719,0.1,2026-08-16,These rows helped derive the +0.10 K shadow-cap hypothesis and cannot validate it.,FREEZE_HYPOTHESIS_AND_COLLECT_FORWARD_EVIDENCE,True,NONE,opponent-matchup-boost-cap-shadow-v1
FORWARD_OOS,LEARNING,6,1,5,4,0.6666666666666666,1.4296027734662147,1.4285142635971368,1.428749934827647,0.0007614072169422448,0.00016494925022584716,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,-0.6651065368010226,-0.7542531190512954,-0.8527298566168962,0.08914658225027283,0.18762331981587352,0.0984767375656009,0.1,2026-08-16,"Need 30 forward OOS starts, 10 days, and 12 opponents; have 6, 1, and 5.",KEEP_SHADOW_CAP_FROZEN_AND_LEARN,True,NONE,opponent-matchup-boost-cap-shadow-v1
