Milestone,OOS_Starts,Baseline_Brier,Candidate_Brier,Relative_Brier_Improvement,Baseline_Calibration_Gap,Candidate_Calibration_Gap,Candidate_Win_Share,Status,Replay_Version
3,209,0.14333915988301021,0.14464528772012622,-0.009112149381802112,0.04750080852877203,0.0533466322457784,0.507177033492823,MIXED,calibration-shadow-replay-v1
4,209,0.19807374377051143,0.20003006172480625,-0.009876715192304418,0.05251066436472862,0.054835603974751734,0.47368421052631576,MIXED,calibration-shadow-replay-v1
5,209,0.21854520151019075,0.21809950947080772,0.0020393586146170294,0.012504601502451251,0.01694792492483732,0.49282296650717705,MIXED,calibration-shadow-replay-v1
6,209,0.20544100725363137,0.20490129252689399,0.0026271031959606457,-0.0018623587044181433,-0.0022185998101191817,0.507177033492823,MIXED,calibration-shadow-replay-v1
7,209,0.1455567770025225,0.1448169555521081,0.005082700137016504,0.015266693184785712,0.01016096482366402,0.7655502392344498,MIXED,calibration-shadow-replay-v1
8,209,0.08333537910868673,0.08379870506540181,-0.005559774991973204,0.019773784949657175,0.015598900204290778,0.7177033492822966,MIXED,calibration-shadow-replay-v1
9,209,0.05253455589181089,0.05250346112224773,0.0005918917374537585,0.003061644625139394,0.009662261307494278,0.0861244019138756,MIXED,calibration-shadow-replay-v1
10,209,0.034741468874242516,0.03443866283217366,0.008715982711178911,-0.0064974399309361205,-0.0007104517486143727,0.06220095693779904,MIXED,calibration-shadow-replay-v1
