Evidence_Lane,Evidence_Status,Pairs,Observed_Days,Distinct_Opponents,Changed_Pairs,Applied_Confirmed_Pairs,Reverted_To_Preconfirm_Pairs,Preconfirm_MAE,Confirmed_MAE,Materiality_MAE,Materiality_Relative_MAE_vs_Confirmed,Materiality_Relative_MAE_vs_Preconfirm,Changed_Confirmed_MAE,Changed_Materiality_MAE,Changed_Relative_MAE_vs_Confirmed,Changed_Win_Share_vs_Confirmed,Confirmed_Win_Share_vs_Materiality,Changed_Tie_Share,Confirmed_Bias,Materiality_Bias,Materiality_Bias_Abs_Change_vs_Confirmed,Mean_Absolute_Projection_Delta,Frozen_Materiality_K,Derivation_Cutoff_Date,Reason,Recommended_Action,Report_Only,Production_Authority,Validation_Version
DERIVATION_BACKTEST,DESCRIPTIVE_ONLY,120,5,30,101,19,101,1.735061422075267,1.7266218170349108,1.717874113704174,0.005066369047600162,0.009905878923027177,1.7111999072286979,1.7008065963406933,0.006073697669161634,0.5247524752475248,0.4752475247524752,0.0,0.15148680699661465,0.1458964423776749,-0.005590364618939747,0.0892539752670686,0.15,2026-08-17,These rows motivated the frozen 0.15 K materiality hypothesis and cannot validate it.,FREEZE_MATERIALITY_THRESHOLD_AND_COLLECT_FORWARD_EVIDENCE,True,NONE,lineup-materiality-shadow-v1
FORWARD_OOS,LEARNING,4,1,4,3,1,3,1.390336740135365,1.4126334033416748,1.3463881006867795,0.04689490033166974,0.031610068395593584,1.3531877888333954,1.2648607186268686,0.06527332786728368,1.0,0.0,0.0,0.08735172759230858,0.03106947760006662,-0.05628224999224196,0.11019394210348073,0.15,2026-08-17,Forward evidence is evaluated by the materiality promotion gate.,KEEP_MATERIALITY_THRESHOLD_FROZEN_AND_LEARN,True,NONE,lineup-materiality-shadow-v1
