game_date,game_pk,pitcher_id,player,team,team_id,catcher_id,catcher_name,catcher_source,catcher_confirmed,catcher_captured_at_utc,catcher_factor,candidate_authority,actual_strikeouts,actual_pitches,actual_batters_faced,actual_outs,capture_version
2026-08-12,823994,615698,Cal Quantrill,TEX,140,553869.0,Elias Díaz,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,6.0,85.0,22.0,15.0,catcher-context-v1-report-only
2026-08-12,822698,800600,Jackson Kent,WSH,120,695670.0,Harry Ford,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,6.0,78.0,19.0,12.0,catcher-context-v1-report-only
2026-08-12,823994,691946,George Klassen,LAA,108,694208.0,Moisés Ballesteros,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,5.0,87.0,24.0,18.0,catcher-context-v1-report-only
2026-08-13,822776,453286,Max Scherzer,TOR,141,678218.0,Brandon Valenzuela,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,4.0,92.0,20.0,15.0,catcher-context-v1-report-only
2026-08-13,822696,592332,Kevin Gausman,CHC,112,665804.0,Miguel Amaya,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,7.0,93.0,22.0,14.0,catcher-context-v1-report-only
2026-08-13,822696,676917,Cade Cavalli,WSH,120,660688.0,Keibert Ruiz,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,10.0,103.0,26.0,24.0,catcher-context-v1-report-only
2026-08-13,824238,800048,Parker Messick,CLE,114,672275.0,Patrick Bailey,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,6.0,102.0,23.0,17.0,catcher-context-v1-report-only
2026-08-13,823829,677952,Braxton Ashcraft,PIT,134,804668.0,Rafael Flores Jr.,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,10.0,85.0,28.0,27.0,catcher-context-v1-report-only
2026-08-13,824238,672456,Keider Montero,DET,116,693307.0,Dillon Dingler,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,0.0,88.0,23.0,19.0,catcher-context-v1-report-only
2026-08-13,823829,663969,Tyler Phillips,MIA,146,682663.0,Agustín Ramírez,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,6.0,92.0,23.0,16.0,catcher-context-v1-report-only
2026-08-13,823508,608331,Max Fried,NYY,147,645305.0,Ali Sánchez,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,4.0,88.0,20.0,15.0,catcher-context-v1-report-only
2026-08-13,824561,671096,Andrew Abbott,CIN,113,663886.0,Tyler Stephenson,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,93.0,23.0,13.0,catcher-context-v1-report-only
