game_date,game_pk,pitcher_id,player,team,opponent,Prior_Resolved_Starts,Feature_Count,OOS_Eligible,Existing_Projection,ML_Shadow_Projection,SIM_Mean,MATH_Mean,Three_Path_Candidate,Three_Path_Eligible,Actual_Strikeouts,Existing_Absolute_Error,ML_Absolute_Error,Three_Path_Absolute_Error,Existing_Error,ML_Error,Three_Path_Error,Report_Only,Validation_Version
2026-08-12,823017,554430,Zack Wheeler,PHI,STL,0,0,False,5.113708402473249,,,,,False,5.0,0.11370840247324931,,,0.11370840247324931,,,True,ml-k-shadow-v1-report-only
2026-08-12,823672,805673,Zebby Matthews,MIN,BAL,0,0,False,5.292388596361408,,,,,False,4.0,1.2923885963614081,,,1.2923885963614081,,,True,ml-k-shadow-v1-report-only
2026-08-13,823669,605400,Aaron Nola,PHI,MIN,30,24,False,5.058942410672682,,,,,False,9.0,3.9410575893273183,,,-3.9410575893273183,,,True,ml-k-shadow-v1-report-only
2026-08-13,824561,671096,Andrew Abbott,CIN,CHW,30,24,False,4.790875567489774,,,,,False,3.0,1.790875567489774,,,1.790875567489774,,,True,ml-k-shadow-v1-report-only
2026-08-13,823829,677952,Braxton Ashcraft,PIT,MIA,30,24,False,5.249966977526226,,,,,False,10.0,4.750033022473774,,,-4.750033022473774,,,True,ml-k-shadow-v1-report-only
2026-08-13,822696,676917,Cade Cavalli,WSH,CHC,30,24,False,5.284261858257167,,,,,False,10.0,4.715738141742833,,,-4.715738141742833,,,True,ml-k-shadow-v1-report-only
2026-08-13,824561,663436,Davis Martin,CHW,CIN,30,24,False,4.709475301098596,,,,,False,3.0,1.7094753010985961,,,1.7094753010985961,,,True,ml-k-shadow-v1-report-only
2026-08-13,823995,594798,Jacob deGrom,TEX,LAA,30,24,False,5.515084930170935,,,,,False,3.0,2.515084930170935,,,2.515084930170935,,,True,ml-k-shadow-v1-report-only
2026-08-13,824238,672456,Keider Montero,DET,CLE,30,24,False,4.214743913149588,,,,,False,0.0,4.214743913149588,,,4.214743913149588,,,True,ml-k-shadow-v1-report-only
2026-08-13,822696,592332,Kevin Gausman,CHC,WSH,30,24,False,5.1805625411540674,,,,,False,7.0,1.8194374588459326,,,-1.8194374588459326,,,True,ml-k-shadow-v1-report-only
2026-08-13,823508,669302,Logan Gilbert,SEA,NYY,30,24,False,5.999279409012194,,,,,False,7.0,1.0007205909878056,,,-1.0007205909878056,,,True,ml-k-shadow-v1-report-only
2026-08-13,823508,608331,Max Fried,NYY,SEA,30,24,False,4.8420928252218784,,,,,False,4.0,0.8420928252218784,,,0.8420928252218784,,,True,ml-k-shadow-v1-report-only
2026-08-13,822776,453286,Max Scherzer,TOR,BOS,30,24,False,4.002706076813793,,,,,False,4.0,0.0027060768137934232,,,0.0027060768137934232,,,True,ml-k-shadow-v1-report-only
2026-08-13,824238,800048,Parker Messick,CLE,DET,30,24,False,5.693249422713524,,,,,False,6.0,0.3067505772864756,,,-0.3067505772864756,,,True,ml-k-shadow-v1-report-only
2026-08-13,822776,801139,Payton Tolle,BOS,TOR,30,24,False,5.411665879736916,,,,,False,4.0,1.4116658797369164,,,1.4116658797369164,,,True,ml-k-shadow-v1-report-only
2026-08-13,823915,808963,Roki Sasaki,LAD,MIL,30,24,False,5.157072926337631,,,,,False,2.0,3.157072926337631,,,3.157072926337631,,,True,ml-k-shadow-v1-report-only
2026-08-13,823915,675660,Shane Drohan,MIL,LAD,30,24,False,5.09499132605994,,,,,False,5.0,0.0949913260599402,,,0.0949913260599402,,,True,ml-k-shadow-v1-report-only
2026-08-13,823669,671737,Taj Bradley,MIN,PHI,30,24,False,5.521771862741471,,,,,False,3.0,2.5217718627414714,,,2.5217718627414714,,,True,ml-k-shadow-v1-report-only
2026-08-13,823829,663969,Tyler Phillips,MIA,PIT,30,24,False,3.866392782415895,,,,,False,6.0,2.133607217584105,,,-2.133607217584105,,,True,ml-k-shadow-v1-report-only
2026-08-13,823995,700712,Walbert Ureña,LAA,TEX,30,24,False,4.713297608881091,,,,,False,5.0,0.28670239111890883,,,-0.28670239111890883,,,True,ml-k-shadow-v1-report-only
2026-08-14,823591,674841,Andrew Alvarez,WSH,NYM,48,30,True,4.411414403822503,2.641590348585789,,,,False,4.0,0.41141440382250316,1.358409651414211,,0.41141440382250316,-1.358409651414211,,True,ml-k-shadow-v1-report-only
2026-08-14,824882,694297,Brandon Pfaadt,ARI,ATL,48,30,True,4.695923424536369,6.891611429808605,,,,False,7.0,2.3040765754636308,0.10838857019139514,,-2.3040765754636308,-0.10838857019139514,,True,ml-k-shadow-v1-report-only
2026-08-14,823346,696149,Bubba Chandler,PIT,BOS,48,30,True,4.53317940662322,6.52379774475064,,,,False,5.0,0.46682059337677995,1.52379774475064,,-0.46682059337677995,1.52379774475064,,True,ml-k-shadow-v1-report-only
2026-08-14,824479,695505,Chase Burns,CIN,MIA,48,30,True,5.558449164509395,4.5471573917489465,,,,False,8.0,2.441550835490605,3.4528426082510535,,-2.441550835490605,-3.4528426082510535,,True,ml-k-shadow-v1-report-only
2026-08-14,822942,605135,Chris Bassitt,BAL,TBR,48,30,True,4.100788408450873,5.383264380671229,,,,False,3.0,1.1007884084508728,2.3832643806712293,,1.1007884084508728,2.3832643806712293,,True,ml-k-shadow-v1-report-only
2026-08-14,824882,519242,Chris Sale,ATL,ARI,48,30,True,5.485459497169694,3.645563145880369,,,,False,9.0,3.5145405028303056,5.354436854119632,,-3.5145405028303056,-5.354436854119632,,True,ml-k-shadow-v1-report-only
2026-08-14,824643,605280,Clay Holmes,CHC,STL,48,30,True,4.24889813214706,4.765002784653234,,,,False,3.0,1.24889813214706,1.765002784653234,,1.24889813214706,1.765002784653234,,True,ml-k-shadow-v1-report-only
2026-08-14,824968,695611,Gage Jump,ATH,TEX,48,30,True,5.663479055047671,3.778465972743219,,,,False,1.0,4.663479055047671,2.778465972743219,,4.663479055047671,2.778465972743219,,True,ml-k-shadow-v1-report-only
2026-08-14,824399,668909,Gavin Williams,CLE,SDP,48,30,True,5.778883370854544,4.708313550466351,,,,False,5.0,0.778883370854544,0.29168644953364886,,0.778883370854544,-0.29168644953364886,,True,ml-k-shadow-v1-report-only
2026-08-14,824159,669923,George Kirby,SEA,HOU,48,30,True,5.055233311872689,3.131154809201176,,,,False,2.0,3.055233311872689,1.1311548092011758,,3.055233311872689,1.1311548092011758,,True,ml-k-shadow-v1-report-only
2026-08-14,822777,543037,Gerrit Cole,NYY,TOR,48,30,True,5.1837125225898735,4.371020801317109,,,,False,5.0,0.18371252258987347,0.6289791986828908,,0.18371252258987347,-0.6289791986828908,,True,ml-k-shadow-v1-report-only
2026-08-14,823993,680570,Grayson Rodriguez,LAA,KCR,48,30,True,4.497707170109626,5.193299314130727,,,,False,5.0,0.5022928298903739,0.19329931413072732,,-0.5022928298903739,0.19329931413072732,,True,ml-k-shadow-v1-report-only
2026-08-14,824237,695549,Jackson Jobe,DET,CHW,48,30,True,4.509072904569642,4.551545537543512,,,,False,4.0,0.509072904569642,0.5515455375435119,,0.509072904569642,0.5515455375435119,,True,ml-k-shadow-v1-report-only
2026-08-14,823346,687562,Jake Bennett,BOS,PIT,48,30,True,5.136651373886729,3.4926464665873858,,,,False,6.0,0.8633486261132708,2.5073535334126142,,-0.8633486261132708,-2.5073535334126142,,True,ml-k-shadow-v1-report-only
2026-08-14,824968,677958,Kumar Rocker,TEX,ATH,48,30,True,4.395781761680474,5.143818481494475,,,,False,3.0,1.3957817616804737,2.143818481494475,,1.3957817616804737,2.143818481494475,,True,ml-k-shadow-v1-report-only
2026-08-14,823185,607536,Kyle Freeland,COL,SFG,48,30,True,5.705471119678161,3.625882513338244,,,,False,2.0,3.705471119678161,1.6258825133382442,,3.705471119678161,1.6258825133382442,,True,ml-k-shadow-v1-report-only
2026-08-14,823185,694738,Landen Roupp,SFG,COL,48,30,True,5.18952142514298,6.941453302859495,,,,False,5.0,0.18952142514298043,1.941453302859495,,0.18952142514298043,1.941453302859495,,True,ml-k-shadow-v1-report-only
2026-08-14,824643,669461,Matthew Liberatore,STL,CHC,48,30,True,4.807385909419322,5.520926336919454,,,,False,6.0,1.192614090580678,0.47907366308054566,,-1.192614090580678,-0.47907366308054566,,True,ml-k-shadow-v1-report-only
2026-08-14,824399,650633,Michael King,SDP,CLE,48,30,True,4.756564500312371,6.854777345674397,,,,False,4.0,0.7565645003123711,2.854777345674397,,0.7565645003123711,2.854777345674397,,True,ml-k-shadow-v1-report-only
2026-08-14,824159,663567,Peter Lambert,HOU,SEA,48,30,True,4.964871980644212,5.263660447750022,,,,False,6.0,1.0351280193557884,0.7363395522499783,,-1.0351280193557884,-0.7363395522499783,,True,ml-k-shadow-v1-report-only
2026-08-14,823913,688107,Robert Gasser,MIL,LAD,48,30,True,4.7466171474424845,4.947042735550706,,,,False,7.0,2.2533828525575155,2.0529572644492937,,-2.2533828525575155,-2.0529572644492937,,True,ml-k-shadow-v1-report-only
2026-08-14,823591,476594,Robert Stock,NYM,WSH,48,30,True,4.350693049617538,4.945355230280135,,,,False,5.0,0.6493069503824618,0.054644769719865316,,-0.6493069503824618,-0.054644769719865316,,True,ml-k-shadow-v1-report-only
2026-08-14,824479,645261,Sandy Alcantara,MIA,CIN,48,30,True,5.969322268750199,4.838065775586298,,,,False,2.0,3.969322268750199,2.8380657755862977,,3.969322268750199,2.8380657755862977,,True,ml-k-shadow-v1-report-only
2026-08-14,824237,656794,Sean Newcomb,CHW,DET,48,30,True,4.293658542998768,4.232157994002997,,,,False,2.0,2.2936585429987684,2.232157994002997,,2.2936585429987684,2.232157994002997,,True,ml-k-shadow-v1-report-only
2026-08-14,823993,607625,Seth Lugo,KCR,LAA,48,30,True,4.862892118380245,6.491484851111355,,,,False,4.0,0.8628921183802447,2.4914848511113554,,0.8628921183802447,2.4914848511113554,,True,ml-k-shadow-v1-report-only
2026-08-14,822777,669456,Shane Bieber,TOR,NYY,48,30,True,4.789902636901819,3.6157598410785337,,,,False,5.0,0.21009736309818106,1.3842401589214663,,-0.21009736309818106,-1.3842401589214663,,True,ml-k-shadow-v1-report-only
2026-08-14,822942,571927,Steven Matz,TBR,BAL,48,30,True,4.256740631891617,4.100313367209049,,,,False,1.0,3.256740631891617,3.100313367209049,,3.256740631891617,3.100313367209049,,True,ml-k-shadow-v1-report-only
2026-08-14,823913,808967,Yoshinobu Yamamoto,LAD,MIL,48,30,True,5.946600628694665,3.2444498852008743,,,,False,9.0,3.0533993713053347,5.755550114799126,,-3.0533993713053347,-5.755550114799126,,True,ml-k-shadow-v1-report-only
2026-08-15,824239,641743,Anthony Kay,CHW,DET,76,34,True,4.794158051567684,4.2406932777818955,,,,False,4.0,0.7941580515676838,0.24069327778189553,,0.7941580515676838,0.24069327778189553,,True,ml-k-shadow-v1-report-only
2026-08-15,823588,695418,Brad Lord,WSH,NYM,76,34,True,3.8440168524749634,3.445762299134228,,,,False,1.0,2.8440168524749634,2.445762299134228,,2.8440168524749634,2.445762299134228,,True,ml-k-shadow-v1-report-only
2026-08-15,824480,663903,Brady Singer,CIN,MIA,76,34,True,5.221973800020474,4.219989007661911,,,,False,4.0,1.221973800020474,0.2199890076619111,,1.221973800020474,0.2199890076619111,,True,ml-k-shadow-v1-report-only
2026-08-15,822775,680755,Braydon Fisher,TOR,NYY,76,34,True,3.1565460243819308,4.636246314502078,,,,False,0.0,3.1565460243819308,4.636246314502078,,3.1565460243819308,4.636246314502078,,True,ml-k-shadow-v1-report-only
2026-08-15,822775,693645,Cam Schlittler,NYY,TOR,76,34,True,5.76531356803126,6.036971331564028,,,,False,7.0,1.2346864319687398,0.9630286684359719,,-1.2346864319687398,-0.9630286684359719,,True,ml-k-shadow-v1-report-only
2026-08-15,823671,687570,Connor Prielipp,MIN,PHI,76,34,True,5.01449363583585,3.923050486575571,,,,False,6.0,0.9855063641641504,2.076949513424429,,-0.9855063641641504,-2.076949513424429,,True,ml-k-shadow-v1-report-only
2026-08-15,824884,593958,Eduardo Rodriguez,ARI,ATL,76,34,True,5.003575211179797,6.398813837170388,,,,False,5.0,0.0035752111797968666,1.3988138371703878,,0.0035752111797968666,1.3988138371703878,,True,ml-k-shadow-v1-report-only
2026-08-15,824157,676106,Emerson Hancock,SEA,HOU,76,34,True,5.06781795311276,4.342133559146974,,,,False,8.0,2.93218204688724,3.6578664408530264,,-2.93218204688724,-3.6578664408530264,,True,ml-k-shadow-v1-report-only
2026-08-15,824884,656550,Grant Holmes,ATL,ARI,76,34,True,4.209018734059028,3.25333205792797,,,,False,3.0,1.2090187340590282,0.25333205792796987,,1.2090187340590282,0.25333205792796987,,True,ml-k-shadow-v1-report-only
2026-08-15,824157,669713,Hayden Wesneski,HOU,SEA,76,34,True,4.639624601441137,5.282078571462204,,,,False,6.0,1.3603753985588627,0.717921428537796,,-1.3603753985588627,-0.717921428537796,,True,ml-k-shadow-v1-report-only
2026-08-15,822941,693855,Ian Seymour,TBR,BAL,76,34,True,5.399951571868048,3.537531334481283,,,,False,9.0,3.6000484281319522,5.462468665518717,,-3.6000484281319522,-5.462468665518717,,True,ml-k-shadow-v1-report-only
2026-08-15,824966,669372,J.T. Ginn,ATH,TEX,76,34,True,5.2555044065094165,4.085940747701542,,,,False,7.0,1.7444955934905835,2.9140592522984576,,-1.7444955934905835,-2.9140592522984576,,True,ml-k-shadow-v1-report-only
2026-08-15,823914,694819,Jacob Misiorowski,MIL,LAD,76,34,True,6.337775222291999,5.068063766265412,,,,False,6.0,0.33777522229199874,0.9319362337345876,,0.33777522229199874,-0.9319362337345876,,True,ml-k-shadow-v1-report-only
2026-08-15,823347,683003,Jared Jones,PIT,BOS,76,34,True,4.369522756824493,3.6679149374465365,,,,False,7.0,2.6304772431755072,3.3320850625534635,,-2.6304772431755072,-3.3320850625534635,,True,ml-k-shadow-v1-report-only
2026-08-15,823671,666200,Jesús Luzardo,PHI,MIN,76,34,True,6.146693838277013,5.577908668394369,,,,False,9.0,2.853306161722987,3.422091331605631,,-2.853306161722987,-3.422091331605631,,True,ml-k-shadow-v1-report-only
2026-08-15,824400,676282,Joey Cantillo,CLE,SDP,76,34,True,4.399320485164076,2.047229306495105,,,,False,7.0,2.6006795148359236,4.952770693504895,,-2.6006795148359236,-4.952770693504895,,True,ml-k-shadow-v1-report-only
2026-08-15,823914,680736,Justin Wrobleski,LAD,MIL,76,34,True,5.040592301170672,2.2044195659369117,,,,False,6.0,0.9594076988293283,3.7955804340630883,,-0.9594076988293283,-3.7955804340630883,,True,ml-k-shadow-v1-report-only
2026-08-15,822941,680694,Kyle Bradish,BAL,TBR,76,34,True,4.529826520715504,5.497721680808236,,,,False,3.0,1.5298265207155044,2.497721680808236,,1.5298265207155044,2.497721680808236,,True,ml-k-shadow-v1-report-only
2026-08-15,823184,657277,Logan Webb,SFG,COL,76,34,True,5.51839318904492,4.931594011927059,,,,False,7.0,1.4816068109550802,2.068405988072941,,-1.4816068109550802,-2.068405988072941,,True,ml-k-shadow-v1-report-only
