Season,Metric,Leash_Label,Evaluated_Starts,Baseline_MAE,Candidate_MAE,Relative_MAE_Improvement,Candidate_Win_Share,Baseline_Bias,Candidate_Bias,Sample_Gate,MAE_Gate,Win_Gate,Bias_Gate,Promotion_Cell,Reasons,Production_Authority,Report_Only,Validation_Version
2024,PITCHES,ALL,1482,8.639438642092601,8.764088821230732,-0.014428041485336458,0.4642375168690958,-0.25394196953049253,-0.13663493602521468,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2024,PITCHES,TIGHTER,220,9.195548115924357,9.724320194903658,-0.057503051728216424,0.32727272727272727,-1.843654072967374,-3.40889261419962,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2024,PITCHES,NEUTRAL,977,8.459291035526682,8.511122895740552,-0.006127210897011392,0.4790174002047083,-0.3644928189237554,-0.2971324507022859,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2024,PITCHES,LONGER,285,8.827719790765988,8.890042529988143,-0.007059890968372897,0.519298245614035,1.3521802852531266,2.939515102704145,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2024,BF,ALL,1482,2.5493387074700227,2.5853097656254054,-0.014109956456543421,0.44399460188933876,-0.130515892588204,-0.08834798992447651,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2024,BF,TIGHTER,220,2.743248809176457,2.829045481967123,-0.03127557095939206,0.4,-0.3556460672532651,-0.7566768106198904,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2024,BF,NEUTRAL,977,2.487757122767911,2.507541780977646,-0.00795280939150606,0.4534288638689867,-0.21341327737403076,-0.18499174963130158,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2024,BF,LONGER,285,2.6107597105526463,2.6637570056453463,-0.020299568312811725,0.4456140350877193,0.32744685605062485,0.7588565496774855,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2024,OUTS,ALL,1482,2.8726281216268776,2.9093256642832923,-0.012774901972216115,0.45681511470985153,-0.07657935566130838,-0.03810460919267672,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2024,OUTS,TIGHTER,220,3.0690384609561256,3.143785569071841,-0.024355220394477798,0.4090909090909091,-0.2894375539028218,-0.64518832154042,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2024,OUTS,NEUTRAL,977,2.7897385765151537,2.8128485191003088,-0.008283909746849196,0.4677584442169908,-0.10221763098389783,-0.0780681144723172,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2024,OUTS,LONGER,285,3.0051643002995787,3.0590694951264283,-0.017937520028930176,0.45614035087719296,0.17562204294677192,0.5675191149291207,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2025,PITCHES,ALL,2075,8.887434506380169,9.018633160056432,-0.014762263911151985,0.45879518072289155,-0.4356690704185837,-0.322385494648474,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2025,PITCHES,TIGHTER,339,9.755382182096405,10.353963103933715,-0.06135904372212686,0.3008849557522124,-2.465316835697442,-3.9144294736513507,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2025,PITCHES,NEUTRAL,1310,8.726941381658023,8.780865911988254,-0.006179087033123457,0.4770992366412214,-0.22858339911962172,-0.2219394039203851,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2025,PITCHES,LONGER,426,8.690278946094267,8.687173638917729,0.000357331127780859,0.528169014084507,0.5426604202572206,2.227188519502182,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2025,BF,ALL,2075,2.5882354555521956,2.613809542490804,-0.009880896609984941,0.4563855421686747,-0.16874014057808315,-0.13330967302265637,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2025,BF,TIGHTER,339,2.763307566354617,2.8511172616914564,-0.03177702562175468,0.3746312684365782,-0.6986807149143422,-1.0292746637325763,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
