Season,Leash,Metric,Evaluated_Starts,Workload_v1_MAE,Global_v2_MAE,BiasControlled_v23_MAE,BiasControlled_v23_RMSE,Global_v2_Bias,BiasControlled_v23_Bias,Relative_MAE_vs_Workload_v1,Relative_MAE_vs_Global_v2,BiasControlled_Adjusted_Starts,BiasControlled_Win_Share_vs_Workload_v1,BiasControlled_Win_Share_vs_Global_v2,Mean_TIGHT_Weight,BiasControlled_Status,Candidate_Version
2024,LONG,PITCHES,83,8.400878595651681,8.556182876639435,8.556182876639435,14.078418097168392,4.76787477895594,4.76787477895594,-0.018486671271280973,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2024,LONG,BF,83,2.325377826617038,2.4401026844298555,2.4401026844298555,3.666519883405347,1.360951426083028,1.360951426083028,-0.04933600746495435,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2024,LONG,OUTS,83,3.0506558312617496,3.1041072659585462,3.1041072659585462,4.12968937332277,1.0453571289491674,1.0453571289491674,-0.017521293011506057,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2024,NORMAL,PITCHES,968,8.06705682094479,7.9768155039371225,7.9768155039371225,11.90861205596063,1.611595973238083,1.611595973238083,0.011186399080935085,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2024,NORMAL,BF,968,2.4856713169960862,2.479451637790436,2.479451637790436,3.4259210060124605,0.46028830623627104,0.46028830623627104,0.0025022130492967083,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2024,NORMAL,OUTS,968,2.7120663024995446,2.699308612781,2.699308612781,3.6369772380597065,0.36727649973228815,0.36727649973228815,0.00470404787183361,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2024,TIGHT,PITCHES,200,11.566436062613395,11.050094059586993,10.73673517257077,13.642959434009981,-3.734011836000268,-2.804111688161545,0.07173349556865638,0.0283580289295687,169,0.6863905325443787,0.6804733727810651,0.6766742095379308,HELPING,workload-v2.3-bias-controlled-tight-candidate
2024,TIGHT,BF,200,3.1334908516187467,3.0164505051869965,2.9842049703060853,3.9003033519308867,-0.7870844846029555,-0.5340466192996943,0.04764203515562875,0.01068989357705779,169,0.6153846153846154,0.5739644970414202,0.6766742095379308,HELPING,workload-v2.3-bias-controlled-tight-candidate
2024,TIGHT,OUTS,200,2.9536648357811806,2.880186830309289,2.877287380848013,3.5725366131442486,-0.541710426186921,-0.24262171112923653,0.025858538182097872,0.001006687979669917,169,0.5502958579881657,0.5325443786982249,0.6766742095379308,MIXED,workload-v2.3-bias-controlled-tight-candidate
2025,LONG,PITCHES,66,7.886273265417129,8.354093760606487,8.354093760606487,11.795555135420704,5.883025815072879,5.883025815072879,-0.059320857830382726,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2025,LONG,BF,66,2.056415840771652,2.1919946144015965,2.1919946144015965,2.7162463273155253,1.0257643556011082,1.0257643556011082,-0.06592964853794821,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2025,LONG,OUTS,66,2.5539568482877093,2.6040361676410737,2.6040361676410737,3.4995806469990134,1.1172256905841935,1.1172256905841935,-0.01960852212007415,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2025,NORMAL,PITCHES,1343,7.935282395775195,7.7882251360754635,7.7882251360754635,11.19861092294696,1.3784467403857876,1.3784467403857876,0.01853207641079361,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2025,NORMAL,BF,1343,2.4521121412674267,2.4415353271075677,2.4415353271075677,3.257511121269403,0.3431487492611904,0.3431487492611904,0.0043133484728769995,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2025,NORMAL,OUTS,1343,2.709901514313357,2.705532358369131,2.705532358369131,3.5552031317342845,0.27726950460366856,0.27726950460366856,0.0016122932590534064,0.0,0,,,,LEARNING,workload-v2.3-bias-controlled-tight-candidate
2025,TIGHT,PITCHES,311,11.651625466535833,11.170482004512822,10.819052567391719,13.957333547732727,-3.8434547318973147,-2.766428253087014,0.07145551507258055,0.03146054368818888,280,0.6857142857142857,0.6714285714285714,0.7307671316175981,HELPING,workload-v2.3-bias-controlled-tight-candidate
2025,TIGHT,BF,311,3.1202691219885783,3.0610681106657767,3.016801503134217,3.9319418539081616,-0.7844816391782223,-0.4101741107569867,0.03315983808102436,0.014461163858889679,280,0.575,0.5607142857142857,0.7307671316175981,HELPING,workload-v2.3-bias-controlled-tight-candidate
2025,TIGHT,OUTS,311,3.15452663037399,3.11677943057084,3.051162423198575,3.8896441611656414,-0.8665701658255052,-0.4135750116084549,0.03276694708491351,0.02105282354235996,280,0.5821428571428572,0.5785714285714286,0.7307671316175981,HELPING,workload-v2.3-bias-controlled-tight-candidate
