game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Opponent_K_Extremity,Matchup_PA,Matchup_PA_Band,Matchup_Batters,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Neutral_K_Projection_Level,Applied_Projection,Matchup_Adjustment_K,Reduction_Magnitude_K,Reduction_Magnitude_Band,Actual_Strikeouts,Weak_Reduce_Eligible,Neutralized_Projection,Applied_Absolute_Error,Neutralized_Absolute_Error,Applied_Error,Neutralized_Error,Neutralized_Win_vs_Applied,Applied_Win_vs_Neutralized,Neutralized_Applied_Tie,Evidence_Lane,Counts_For_Promotion,Report_Only,Production_Authority,Validation_Version
2026-08-16,824880,647336,Michael Soroka,ARI,ATL,0.2189442057067619,-0.5055794293238103,-0.25–0.99pp,2326.0,"2,000–2,999 PA",9.0,CONFIRMED,68,60–69,4.691552531695018,4.0–4.99 K,4.638304993677666,-0.0532475380173522,0.0532475380173522,<0.10 K,5.0,True,4.691552531695018,0.36169500632233387,0.3084474683049816,-0.36169500632233387,-0.3084474683049816,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-16,823590,663623,Jake Irvin,WSH,NYM,0.2207675214072664,-0.3232478592733595,-0.25–0.99pp,2105.0,"2,000–2,999 PA",9.0,CONFIRMED,65,60–69,4.446584824782525,4.0–4.99 K,4.414384550836889,-0.0322002739456355,0.0322002739456355,<0.10 K,6.0,True,4.446584824782525,1.585615449163111,1.5534151752174754,-1.585615449163111,-1.5534151752174754,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-16,824477,666157,Nick Lodolo,CIN,MIA,0.2148718983466158,-0.9128101653384124,-0.25–0.99pp,765.0,"<1,000 PA",9.0,CONFIRMED,64,60–69,4.59532698566719,4.0–4.99 K,4.500722335947863,-0.0946046497193267,0.0946046497193267,<0.10 K,2.0,True,4.59532698566719,2.500722335947863,2.5953269856671897,2.500722335947863,2.5953269856671897,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-16,823182,694918,Blade Tidwell,SFG,COL,0.219183959430592,-0.4816040569407986,-0.25–0.99pp,1460.0,"1,000–1,999 PA",9.0,CONFIRMED,50,<60,4.604855902574358,4.0–4.99 K,4.555084306412306,-0.0497715961620519,0.0497715961620519,<0.10 K,1.0,True,4.604855902574358,3.555084306412306,3.604855902574358,3.555084306412306,3.604855902574358,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-16,823991,696270,Ryan Johnson,LAA,KCR,0.2171398100632892,-0.6860189936710809,-0.25–0.99pp,2238.0,"2,000–2,999 PA",9.0,CONFIRMED,60,60–69,4.183993420610594,4.0–4.99 K,4.119426045711611,-0.0645673748989832,0.0645673748989832,<0.10 K,4.0,True,4.183993420610594,0.1194260457116112,0.18399342061059443,0.1194260457116112,0.18399342061059443,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-16,823912,669373,Tarik Skubal,LAD,MIL,0.2170212938349161,-0.6978706165083864,-0.25–0.99pp,706.0,"<1,000 PA",9.0,CONFIRMED,71,70–79,5.918579437937701,5.0–5.99 K,5.825653446777954,-0.0929259911597464,0.0929259911597464,<0.10 K,7.0,True,5.918579437937701,1.1743465532220458,1.0814205620622994,-1.1743465532220458,-1.0814205620622994,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-17,823668,527048,Martín Pérez,ATL,MIN,0.2173401654600034,-0.6659834539996551,-0.25–0.99pp,875.0,"<1,000 PA",9.0,CONFIRMED,72,70–79,4.058713075999724,4.0–4.99 K,3.997922197560462,-0.0607908784392616,0.0607908784392616,<0.10 K,3.0,True,4.058713075999724,0.9979221975604622,1.0587130759997239,0.9979221975604622,1.0587130759997239,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-17,823668,641927,Bailey Ober,MIN,ATL,0.216533430104879,-0.7466569895120956,-0.25–0.99pp,2414.0,"2,000–2,999 PA",9.0,CONFIRMED,71,70–79,4.630520831278347,4.0–4.99 K,4.552692426074534,-0.0778284052038129,0.0778284052038129,<0.10 K,4.0,True,4.630520831278347,0.5526924260745343,0.6305208312783472,0.5526924260745343,0.6305208312783472,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-18,823423,554430,Zack Wheeler,PHI,MIA,0.2178487745115868,-0.6151225488413209,-0.25–0.99pp,2170.0,"2,000–2,999 PA",9.0,CONFIRMED,74,70–79,5.46255113052202,5.0–5.99 K,5.387025936398032,-0.0755251941239878,0.0755251941239878,<0.10 K,7.0,True,5.46255113052202,1.6129740636019676,1.5374488694779798,-1.6129740636019676,-1.5374488694779798,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-18,824075,669620,Brady Basso,ATH,KCR,0.218787986916469,-0.5212013083530947,-0.25–0.99pp,933.0,"<1,000 PA",9.0,CONFIRMED,47,<60,3.3272812969516834,<4.0 K,3.2883440164111546,-0.0389372805405288,0.0389372805405288,<0.10 K,1.0,True,3.3272812969516834,2.2883440164111546,2.3272812969516834,2.2883440164111546,2.3272812969516834,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-19,823587,650633,Michael King,SDP,NYM,0.2210817785491054,-0.291822145089457,-0.25–0.99pp,2460.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.106586002846806,5.0–5.99 K,5.073213228237977,-0.0333727746088294,0.0333727746088294,<0.10 K,4.0,True,5.106586002846806,1.073213228237977,1.1065860028468064,1.073213228237977,1.1065860028468064,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
