game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Opponent_K_Extremity,Matchup_PA,Matchup_PA_Band,Matchup_Batters,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Neutral_K_Projection_Level,Applied_Projection,Matchup_Adjustment_K,Boost_Magnitude_Band,Actual_Strikeouts,Applied_Absolute_Error,Neutral_Absolute_Error,Applied_Error,Neutral_Error,Applied_Win,Neutral_Win,Tie,Applied_Overprediction,Neutral_Overprediction,Report_Only,Production_Authority,Validation_Version
2026-08-14,824479,645261,Sandy Alcantara,MIA,CIN,0.2552687178603017,3.1268717860301694,+2.50pp+,2085.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.591782062845516,5.0–5.99 K,5.969322268750199,0.3775402059046833,0.25–0.39 K,2.0,3.969322268750199,3.591782062845516,3.969322268750199,3.591782062845516,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-14,823346,687562,Jake Bennett,BOS,PIT,0.2293411645468545,0.5341164546854515,+0.25–0.99pp,817.0,"<1,000 PA",9.0,CONFIRMED,64,60–69,5.076484838752455,5.0–5.99 K,5.136651373886729,0.0601665351342743,<0.10 K,6.0,0.8633486261132708,0.9235151612475452,-0.8633486261132708,-0.9235151612475452,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-14,824237,695549,Jackson Jobe,DET,CHW,0.2316752109781281,0.7675210978128122,+0.25–0.99pp,2501.0,"2,000–2,999 PA",9.0,CONFIRMED,60,60–69,4.433752871917761,4.0–4.99 K,4.509072904569642,0.0753200326518808,<0.10 K,4.0,0.509072904569642,0.4337528719177612,0.509072904569642,0.4337528719177612,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-14,822777,669456,Shane Bieber,TOR,NYY,0.2440258906288931,2.0025890628893124,+1.50–2.49pp,2089.0,"2,000–2,999 PA",9.0,CONFIRMED,68,60–69,4.589155161331202,4.0–4.99 K,4.789902636901819,0.2007474755706173,0.10–0.24 K,5.0,0.210097363098181,0.4108448386687984,-0.210097363098181,-0.4108448386687984,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-14,823185,607536,Kyle Freeland,COL,SFG,0.2448012631936205,2.0801263193620496,+1.50–2.49pp,481.0,"<1,000 PA",9.0,CONFIRMED,76,70–79,5.457687856723011,5.0–5.99 K,5.705471119678161,0.2477832629551501,0.10–0.24 K,2.0,3.705471119678161,3.4576878567230107,3.705471119678161,3.4576878567230107,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-14,822942,571927,Steven Matz,TBR,BAL,0.2611599085278673,3.71599085278673,+2.50pp+,818.0,"<1,000 PA",9.0,CONFIRMED,62,60–69,3.942284333765032,<4.0 K,4.256740631891617,0.3144562981265846,0.25–0.39 K,1.0,3.256740631891617,2.9422843337650324,3.256740631891617,2.9422843337650324,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-14,824968,695611,Gage Jump,ATH,TEX,0.2451995332115285,2.119953321152848,+1.50–2.49pp,713.0,"<1,000 PA",9.0,CONFIRMED,65,60–69,5.413117925395665,5.0–5.99 K,5.663479055047671,0.2503611296520063,0.25–0.39 K,1.0,4.663479055047671,4.413117925395665,4.663479055047671,4.413117925395665,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,824239,641743,Anthony Kay,CHW,DET,0.2298993930276515,0.5899393027651495,+0.25–0.99pp,706.0,"<1,000 PA",9.0,CONFIRMED,77,70–79,4.732247433744136,4.0–4.99 K,4.794158051567684,0.061910617823548,<0.10 K,4.0,0.7941580515676838,0.7322474337441358,0.7941580515676838,0.7322474337441358,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,824239,675512,Troy Melton,DET,CHW,0.2317671596370065,0.7767159637006499,+0.25–0.99pp,2499.0,"2,000–2,999 PA",9.0,CONFIRMED,64,60–69,5.26052684032373,5.0–5.99 K,5.350953547943936,0.0904267076202058,<0.10 K,4.0,1.350953547943936,1.2605268403237302,1.350953547943936,1.2605268403237302,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,824644,700241,Michael McGreevy,STL,CHC,0.2296724049815955,0.5672404981595547,+0.25–0.99pp,2712.0,"2,000–2,999 PA",9.0,CONFIRMED,78,70–79,4.432697493513059,4.0–4.99 K,4.488471728532872,0.0557742350198129,<0.10 K,6.0,1.511528271467128,1.567302506486941,-1.511528271467128,-1.567302506486941,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
