Pitcher,Resolved_Starts,Below_Projection_Count,Below_Projection_Rate,Mean_K_Residual,Median_K_Residual,Material_Underperform_Events,Material_Underperform_Rate,Underperformer_Status,Report_Only,Production_Authority,Research_Version
Nick Lodolo,2,2,1.0,-2.3368237741541558,-2.3368237741541558,2,1.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Brady Basso,1,1,1.0,-2.2883440164111546,-2.2883440164111546,1,1.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Mason Barnett,1,1,1.0,-2.215105119532577,-2.215105119532577,1,1.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Andrew Painter,1,1,1.0,-2.161655880868947,-2.161655880868947,1,1.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Janson Junk,2,2,1.0,-2.0870568940515235,-2.0870568940515235,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Michael Wacha,1,1,1.0,-1.9885483405826854,-1.9885483405826854,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Cade Gibson,1,1,1.0,-1.932904529638229,-1.932904529638229,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Wandy Peralta,1,1,1.0,-1.9310115756037591,-1.9310115756037591,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Tanner Gordon,1,1,1.0,-1.9279388499173562,-1.9279388499173562,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Ranger Suarez,2,2,1.0,-1.925973768789356,-1.925973768789356,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Bryan Hudson,1,1,1.0,-1.9189015787531987,-1.9189015787531987,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Tanner Bibee,1,1,1.0,-1.9008208740195034,-1.9008208740195034,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Carmen Mlodzinski,2,2,1.0,-1.8165517958717186,-1.8165517958717186,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
José Soriano,2,2,1.0,-1.8000448005018415,-1.8000448005018415,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jack Perkins,2,2,1.0,-1.7292570553422042,-1.7292570553422042,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Brandon Young,1,1,1.0,-1.7143342823678456,-1.7143342823678456,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Davis Martin,1,1,1.0,-1.7094753010985961,-1.7094753010985961,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Ryan Weathers,2,2,1.0,-1.7033259123984799,-1.7033259123984799,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Troy Melton,2,2,1.0,-1.68113688493656,-1.68113688493656,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Ryan Feltner,2,2,1.0,-1.6744250055017886,-1.6744250055017886,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Shane McClanahan,1,1,1.0,-1.6660884420266138,-1.6660884420266138,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Casey Mize,1,1,1.0,-1.6268563024798919,-1.6268563024798919,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Carlos Rodón,1,1,1.0,-1.6153745497699799,-1.6153745497699799,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Brady Singer,2,2,1.0,-1.5989303769464382,-1.5989303769464382,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Martín Pérez,2,2,1.0,-1.5521862677793377,-1.5521862677793377,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Landen Roupp,2,2,1.0,-1.5409061120481122,-1.5409061120481122,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Bryce Miller,2,2,1.0,-1.4651059947920464,-1.4651059947920464,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Kumar Rocker,2,2,1.0,-1.4513401866924869,-1.4513401866924869,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Max Scherzer,2,2,1.0,-1.4069053332523622,-1.4069053332523622,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Grant Holmes,2,2,1.0,-1.3072523182657,-1.3072523182657,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Drew Rasmussen,2,2,1.0,-1.301744290713882,-1.301744290713882,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Seth Lugo,2,2,1.0,-1.2612306340168162,-1.2612306340168162,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
AJ Smith-Shawver,1,1,1.0,-1.2330271442072887,-1.2330271442072887,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Zebby Matthews,2,2,1.0,-1.187590214052698,-1.187590214052698,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Daniel Lynch IV,2,2,1.0,-1.1605163132894944,-1.1605163132894944,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Will Warren,2,2,1.0,-1.092464790385677,-1.092464790385677,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jackson Jobe,2,2,1.0,-1.009758886504843,-1.009758886504843,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Robbie Ray,2,2,1.0,-0.9927477035727912,-0.9927477035727912,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Framber Valdez,2,2,1.0,-0.9796262174191384,-0.9796262174191384,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Tomoyuki Sugano,1,1,1.0,-0.9399266163000446,-0.9399266163000446,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Michael King,2,2,1.0,-0.914888864275174,-0.914888864275174,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Kyle Bradish,2,2,1.0,-0.8697131471947319,-0.8697131471947319,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Cody Bradford,1,1,1.0,-0.8457347921179457,-0.8457347921179457,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Max Fried,1,1,1.0,-0.8420928252218784,-0.8420928252218784,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Eury Pérez,1,1,1.0,-0.708494599050562,-0.708494599050562,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Randy Vásquez,1,1,1.0,-0.6785510929083554,-0.6785510929083554,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Kent Emanuel,1,1,1.0,-0.6585340575481871,-0.6585340575481871,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Eduardo Rodriguez,2,2,1.0,-0.6443705052103965,-0.6443705052103965,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Bailey Ober,1,1,1.0,-0.5526924260745343,-0.5526924260745343,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Walker Buehler,1,1,1.0,-0.52204327956815,-0.52204327956815,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Paul Skenes,1,1,1.0,-0.44336649740909273,-0.44336649740909273,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jacob Misiorowski,2,2,1.0,-0.38039195137511683,-0.38039195137511683,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Blake Snell,1,1,1.0,-0.35864760222480285,-0.35864760222480285,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Ryan Johnson,1,1,1.0,-0.1194260457116112,-0.1194260457116112,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Shane Drohan,1,1,1.0,-0.0949913260599402,-0.0949913260599402,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Hunter Brown,1,1,1.0,-0.07281672738434875,-0.07281672738434875,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Andre Pallante,1,1,1.0,-0.03553366262685209,-0.03553366262685209,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Bryan Woo,1,1,1.0,-0.016764836077239664,-0.016764836077239664,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Bryce Elder,1,1,1.0,-0.006204567084417967,-0.006204567084417967,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Kyle Freeland,2,1,0.5,-1.689769230516776,-1.689769230516776,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Dustin May,2,1,0.5,-1.2860350171345667,-1.2860350171345667,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Freddy Peralta,2,1,0.5,-1.0983005035939555,-1.0983005035939555,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Roki Sasaki,2,1,0.5,-0.9684155487673074,-0.9684155487673074,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Foster Griffin,2,1,0.5,-0.9160717184585763,-0.9160717184585763,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Logan Webb,2,1,0.5,-0.746640949742365,-0.746640949742365,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Noah Cameron,2,1,0.5,-0.7054175109775858,-0.7054175109775858,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Peter Lambert,2,1,0.5,-0.6676760023796735,-0.6676760023796735,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Taj Bradley,2,1,0.5,-0.6033457912400837,-0.6033457912400837,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Ryan Gusto,2,1,0.5,-0.34583244521374734,-0.34583244521374734,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jackson Kent,2,1,0.5,-0.3001351947507489,-0.3001351947507489,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Payton Tolle,2,1,0.5,-0.2928098045416694,-0.2928098045416694,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Logan Henderson,2,1,0.5,-0.2192851558315505,-0.2192851558315505,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Rhett Lowder,2,1,0.5,-0.1818908697541941,-0.1818908697541941,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Cam Schlittler,2,1,0.5,-0.11338377464362148,-0.11338377464362148,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Andrew Abbott,2,1,0.5,-0.09995266031163075,-0.09995266031163075,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Sean Manaea,2,1,0.5,-0.07366943104983603,-0.07366943104983603,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Andrew Alvarez,2,1,0.5,-0.01144154758497784,-0.01144154758497784,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Tyler Mahle,2,1,0.5,0.03537614327015781,0.03537614327015781,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Chris Bassitt,2,1,0.5,0.0768608550088068,0.0768608550088068,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Zac Thornton,2,1,0.5,0.07756287944749474,0.07756287944749474,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
