game_date,game_pk,pitcher_id,player,umpire_id,umpire_name,Prior_Umpire_Games,Candidate_Factor,OOS_Eligible,Base_Projection,Candidate_Projection,Actual_Strikeouts,Base_Absolute_Error,Candidate_Absolute_Error,Base_Error,Candidate_Error,Candidate_Win,Candidate_Loss,Candidate_Version,Validation_Version,Availability_Note
2026-08-09,823020,547179,Michael Lorenzen,427197,Chris Guccione,21,0.9673480241859985,True,3.685133871499764,3.564806969456196,1.0,2.685133871499764,2.564806969456196,2.685133871499764,2.564806969456196,True,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,823020,700241,Michael McGreevy,427197,Chris Guccione,21,0.9673480241859985,True,4.028644369641417,3.897101171120672,4.0,0.028644369641416922,0.102898828879328,0.028644369641416922,-0.102898828879328,False,True,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,822862,700249,Cade Povich,676581,James Jean,18,1.0,False,4.788521824118583,4.788521824118583,2.0,2.7885218241185834,2.7885218241185834,2.7885218241185834,2.7885218241185834,False,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,822862,677958,Kumar Rocker,676581,James Jean,18,1.0,False,4.993407060773855,4.993407060773855,5.0,0.0065929392261452335,0.0065929392261452335,-0.0065929392261452335,-0.0065929392261452335,False,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,823190,675512,Troy Melton,607884,Paul Clemons,22,0.9976399726821822,True,5.524605848860888,5.5115676281374,5.0,0.5246058488608876,0.5115676281374002,0.5246058488608876,0.5115676281374002,True,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,823190,657277,Logan Webb,607884,Paul Clemons,22,0.9976399726821822,True,5.005043020196597,4.993230981942079,2.0,3.005043020196597,2.9932309819420793,3.005043020196597,2.9932309819420793,True,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,825050,680736,Justin Wrobleski,547380,Carlos Torres,20,1.048324775138039,True,5.177799907765031,5.428015924017535,3.0,2.1777999077650314,2.4280159240175347,2.1777999077650314,2.4280159240175347,False,True,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,825050,593958,Eduardo Rodriguez,547380,Carlos Torres,20,1.048324775138039,True,4.106582747642617,4.305032435508196,9.0,4.893417252357383,4.694967564491804,-4.893417252357383,-4.694967564491804,True,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-09,823104,676106,Emerson Hancock,573597,Gabe Morales,21,0.9923808870398366,True,5.630693199666524,5.587792312134241,3.0,2.630693199666524,2.5877923121342414,2.630693199666524,2.5877923121342414,True,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-10,823268,664299,Cristian Javier,658082,Jacob Metz,13,1.0,False,3.288258640376794,3.288258640376794,2.0,1.2882586403767942,1.2882586403767942,1.2882586403767942,1.2882586403767942,False,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-10,822780,543243,Sonny Gray,605671,Charlie Ramos,16,1.0,False,5.85339296825625,5.85339296825625,4.0,1.8533929682562498,1.8533929682562498,1.8533929682562498,1.8533929682562498,False,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-10,822780,592791,Jameson Taillon,605671,Charlie Ramos,16,1.0,False,5.006707153899977,5.006707153899977,3.0,2.006707153899977,2.006707153899977,2.006707153899977,2.006707153899977,False,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-10,824887,681035,Christian Scott,484183,Cory Blaser,19,1.0,False,5.304480365121831,5.304480365121831,6.0,0.6955196348781687,0.6955196348781687,-0.6955196348781687,-0.6955196348781687,False,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
2026-08-10,824887,693821,Bryce Elder,484183,Cory Blaser,19,1.0,False,5.464677018272788,5.464677018272788,4.0,1.4646770182727877,1.4646770182727877,1.4646770182727877,1.4646770182727877,False,False,umpire-k-v1-report-only,umpire-k-shadow-v1-report-only,historical_umpire_identity_backfilled_after_fact
