Evidence_Lane,Evidence_Status,Eligible_Starts,Changed_Starts,Observed_Days,Distinct_Umpires,Base_MAE,Incumbent_MAE,Capped_MAE,Capped_Relative_MAE_vs_Incumbent,Capped_Win_Share_vs_Incumbent,Incumbent_Win_Share_vs_Capped,Capped_Incumbent_Tie_Share,Incumbent_Bias,Capped_Bias,Capped_Bias_Abs_Change_vs_Incumbent,Incumbent_Overprediction_Rate,Capped_Overprediction_Rate,Overprediction_Rate_Change,Mean_Incumbent_Factor,Mean_Capped_Factor,Frozen_Max_K_Up_Factor,Derivation_Cutoff_Date,Reason,Recommended_Action,Manual_Review_Ready,Report_Only,Production_Authority,No_Projection_Adjustment,Validation_Version
DERIVATION_BACKTEST,DESCRIPTIVE_ONLY,104,39,5,17,1.8342126514180455,1.8730342633336046,1.8563412258047003,0.008912296937480578,0.6666666666666666,0.3333333333333333,0.0,0.566420898294242,0.45724012445088064,-0.10918077384336139,0.6666666666666666,0.6666666666666666,0.0,1.0381474649377647,1.0150000000000001,1.015,2026-08-18,Rows on or before 2026-08-18 helped derive the frozen +1.5% K-UP cap hypothesis and cannot validate it.,FREEZE_HYPOTHESIS_AND_COLLECT_FORWARD_EVIDENCE,False,True,NONE,True,umpire-k-up-cap-shadow-v1-preregistered-report-only
FORWARD_OOS,LEARNING,17,9,1,5,2.163688799681368,2.091609228646898,2.1494774650099213,-0.027666848840813097,0.4444444444444444,0.5555555555555556,0.0,-0.5321338100147774,-0.6916083571400654,0.15947454712528797,0.4444444444444444,0.4444444444444444,0.0,1.04629706903685,1.015,1.015,2026-08-18,"Need 30 forward changed starts, 10 days, and 12 umpires; have 9, 1, and 5.",KEEP_K_UP_CAP_SHADOW_FROZEN_AND_LEARN,False,True,NONE,True,umpire-k-up-cap-shadow-v1-preregistered-report-only
