Review_Dimension,Dimension,Segment,Rows,Authentic_Pregame_Pairs,OOS_Paired_Starts,Observed_Days,Distinct_Opponents,Preconfirm_MAE,Confirmed_MAE,Relative_MAE_Improvement,Confirmed_Win_Share,Confirmed_Loss_Share,Preconfirm_Bias,Confirmed_Bias,Bias_Absolute_Change,Mean_Absolute_Projection_Delta,Evidence,Reason,Report_Only,Production_Authority,No_Auto_Promotion,Automatic_Decision_Allowed,Source_Version,Snapshot_Version
MOVEMENT_MAGNITUDE,PROJECTION DELTA BAND,UNKNOWN,100,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,60–69,84,51,44,10,22,1.5514026513717682,1.567441698413652,-0.0103384166758397,0.4772727272727273,0.5227272727272727,0.1727194321004652,0.1900167626338602,0.017297330533394994,0.0956148797685657,CAUTION,"Enough authentic walk-forward volume exists, but confirmed-lineup updates do not clear the MAE, win-share, or bias guardrails.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,70–79,203,173,155,10,30,1.8475429645708543,1.8273756838932007,0.010915730277665,0.5612903225806452,0.4387096774193548,0.0499099559501773,0.077685909261093,0.02777595331091571,0.0979480356566147,SUPPORTED,"Authentic walk-forward sample clears the minimum MAE, win-share, and bias guardrails.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,80–89,2,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,90+,16,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
DATA_QUALITY,QUALITY BAND,<60,66,27,24,8,19,1.945126672107822,1.9616109128085295,-0.0084746360929001,0.4583333333333333,0.5416666666666666,0.7025312951643518,0.7029912791752878,0.00045998401093605423,0.060223410069327,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 24, 8, and 19.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
STARTER_HISTORY,STARTER HISTORY BAND,0–2,13,5,5,4,5,1.3222681675910108,1.328691962165951,-0.0048581632171054,0.8,0.2,0.4728859268367517,0.428019341408433,-0.04486658542831867,0.0582409491025709,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 5, 4, and 5.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
STARTER_HISTORY,STARTER HISTORY BAND,10+,255,226,201,10,30,1.773074166697976,1.7622625677011925,0.006097657503475,0.5373134328358209,0.4626865671641791,0.0850384553340842,0.1114734520679205,0.0264349967338363,0.0976919366837411,SUPPORTED,"Authentic walk-forward sample clears the minimum MAE, win-share, and bias guardrails.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
STARTER_HISTORY,STARTER HISTORY BAND,3–5,14,9,7,5,7,2.1490111458360066,2.129662194912353,0.0090036531272276,0.5714285714285714,0.4285714285714285,-0.1888654467527285,-0.2311704066732709,0.042304959920542395,0.0580682562633661,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 7, 5, and 7.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
STARTER_HISTORY,STARTER HISTORY BAND,6–9,14,11,10,7,10,2.327158993432764,2.352345635789572,-0.0108229143036142,0.3,0.7,1.40613482395768,1.4345776465584872,0.028442822600807105,0.0500600265467651,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 10, 7, and 10.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
STARTER_HISTORY,STARTER HISTORY BAND,UNKNOWN,75,0,0,0,0,,,,,,,,,,LEARNING,"Need at least 30 OOS pairs, 10 observed days, and 8 opponents; have 0, 0, and 0.",True,NONE,True,False,lineup-k-walkforward-v2-lineage-safe-report-only,confirmed-lineup-review-snapshot-v1-report-only
