Dimension,Bucket,Metric,Evaluated Starts,Workload MAE,Candidate MAE,Candidate MAE Improvement vs Workload,Candidate Win Share vs Workload,Rolling5 MAE,Relative MAE vs Rolling5,Win Share vs Rolling5
rest_segment,LONG REST,PITCHES,411,9.71690057411505,9.711436821387077,0.0005622937773520093,0.5196850393700787,10.363584752635848,0.06239966130988822,0.5790754257907542
rest_segment,LONG REST,BF,411,2.760814120376975,2.7331427634490693,0.01002289749377524,0.5249343832020997,2.9891727493917273,0.07639525987958425,0.6009732360097324
rest_segment,LONG REST,OUTS,411,2.772184787160259,2.766864564603387,0.0019191442726015696,0.5144356955380578,3.0181265206812653,0.08148821192078165,0.6082725060827251
rest_segment,NORMAL REST,PITCHES,1243,9.021414260341272,8.92426626608794,0.010768599185207657,0.587288817377313,9.40984178063824,0.04127885774829919,0.5269509251810137
rest_segment,NORMAL REST,BF,1243,2.696603911873056,2.6683826118847547,0.010465496940074778,0.5575221238938053,2.8406677393403057,0.05071477578039667,0.5510860820595334
rest_segment,NORMAL REST,OUTS,1243,2.7701936336279496,2.756923862486209,0.004790196245004667,0.5438455349959774,2.911544650040225,0.04854846255245389,0.5494770716009654
leash_label,LONG,PITCHES,44,7.135816413625431,7.359800611276708,-0.03138872760565874,0.40476190476190477,7.888636363636365,0.09543093575477117,0.6136363636363636
leash_label,LONG,BF,44,2.5439952532047316,2.5692972965413023,-0.009945790309434393,0.47619047619047616,2.6704545454545454,0.04735496901269622,0.5454545454545454
leash_label,LONG,OUTS,44,2.7739979825062377,2.7248814233048626,0.01770605440635525,0.6190476190476191,2.840909090909091,0.023552710157804285,0.5227272727272727
leash_label,NORMAL,PITCHES,1252,8.649684063964148,8.590849064220091,0.0068019825127686,0.5499593826157595,9.0930910543131,0.04876306502381617,0.5407348242811502
leash_label,NORMAL,BF,1252,2.6464917717223124,2.622608671572772,0.00902443771211781,0.536961819658814,2.786661341853035,0.05030018108964558,0.5567092651757188
leash_label,NORMAL,OUTS,1252,2.7943410384306895,2.7862505109200417,0.0028953257313185455,0.5223395613322502,2.94653887113951,0.05165308837414437,0.555111821086262
leash_label,TIGHT,PITCHES,361,11.369711103999132,11.208959036693116,0.014138623737719529,0.6638418079096046,11.822206832871652,0.03827506448409918,0.5263157894736842
leash_label,TIGHT,BF,361,2.9764259571173333,2.9306162815340087,0.015390833248777084,0.5988700564971752,3.2318559556786703,0.07903508140965346,0.5872576177285319
leash_label,TIGHT,OUTS,361,2.6782210274470417,2.661957598581766,0.006072474489074722,0.5734463276836158,2.916435826408126,0.08168010994929684,0.6011080332409973
