Role,Metric,Resolved_Starts,Baseline_MAE,Candidate_MAE,Relative_MAE,Baseline_Bias,Candidate_Bias,Candidate_Win_Share,Candidate_Tie_Share,Role_Workload_Version
LOW_RECENT_EXPOSURE,BF,10,5.57334706497309,5.9894441883301015,-0.07465839082085236,3.4951819442282313,4.683662267571835,0.4,0.0,starter-role-workload-v1
LOW_RECENT_EXPOSURE,OUTS,10,4.542157895644367,4.907222976585235,-0.080372609083216,2.369538727671118,3.391487014421627,0.3,0.0,starter-role-workload-v1
LOW_RECENT_EXPOSURE,PITCHES,10,18.792787278090948,20.266617870790633,-0.0784253325965068,13.210925823228575,18.092764262107835,0.4,0.0,starter-role-workload-v1
RAMPING,BF,4,2.742123213575213,2.880340962555197,-0.050405375037751825,0.04564097611153084,1.0958088258131689,0.5,0.0,starter-role-workload-v1
RAMPING,OUTS,4,4.263272550290413,4.527618370372211,-0.0620053766123375,0.5216140801150728,1.6937861463337756,0.5,0.0,starter-role-workload-v1
RAMPING,PITCHES,4,9.047629292000266,9.047629292000266,0.0,-1.0057819477104886,2.539282802585845,0.5,0.0,starter-role-workload-v1
