game_id,game_date,pitcher_id,pitcher_name,opponent_team,captured_at_utc,actual_strikeouts,actual_batters_faced,snapshot_version,snapshot_hash,feature_payload.prior_games,feature_payload.prior_strikeouts,feature_payload.prior_ip,feature_payload.prior_k_per_9,feature_payload.prior_k_rate,feature_payload.prior_bb_rate,feature_payload.prior_hit_rate,feature_payload.recent3_k_per_9,feature_payload.recent5_k_per_9,feature_payload.recent3_k_avg,feature_payload.recent5_k_avg,feature_payload.opponent_k_rate,feature_payload.opponent_k_rate_same_hand,feature_payload.pitcher_is_left_handed,feature_payload.park_factor,feature_payload.wind_mph,feature_payload.wind_out_mph,feature_payload.wind_in_mph,feature_payload.temperature_f,feature_payload.days_rest,feature_payload.weather_k_factor,feature_payload.arsenal_pitch_types,feature_payload.arsenal_avg_velocity,feature_payload.arsenal_whiff_rate,feature_payload.arsenal_putaway_rate,feature_payload.arsenal_pitch_k_rate,feature_payload.arsenal_usage_entropy,feature_payload.lineup_size,feature_payload.same_hand_batters,feature_payload.opposite_hand_batters,feature_payload.lineup_k_rate,feature_payload.same_hand_k_rate,feature_payload.opposite_hand_k_rate,feature_payload.lineup_k_rate_weighted,feature_payload.top3_k_rate,feature_payload.pitch_mix_matchup_score,feature_payload.pitch_mix_same_hand_score,feature_payload.pitch_mix_opposite_hand_score,feature_payload.pitch_mix_top_pitch_score,feature_payload.opponent_team_id,source_versions.mlb_stats_api,source_versions.reconstruction,Prior_K9,Recent3_K9,Recent5_K9,RecentBlend_K9,Recent_vs_Prior_Divergence,Prior_K_Rate,Actual_K_Rate,Actual_K_Rate_Residual_vs_Prior,Validation_Version
822791,2026-07-01,680755,Braydon Fisher,,2026-08-14T16:32:49.868755+00:00,1,4,1.0.0,eba6e4f89ecd5fab71068b0c9f5e020aa70ce9b9ca94efce9f5b647ce55d22ea,10.0,8.0,8.7,8.275862068965518,0.16,0.16,0.22,4.390243902439025,2.903225806451613,0.6666666666666666,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,10.0,0.1245970725182371,0.1121725496725496,0.1444763090713371,0.0,0.4003126503126502,0.0,0.0,0.0,0.0,121.0,v1,2.3.0,8.275862068965518,4.390243902439025,2.903225806451613,3.4980330448465775,-0.5773210070810386,0.16,0.25,0.09,recent-form-k-v1-report-only
823446,2026-07-01,694973,Paul Skenes,,2026-08-14T16:32:51.357858+00:00,5,22,1.0.0,0ef0d1db063c003e01a907dfb258e1cec01aa1ad9b21f98721c89937ab363bf0,10.0,75.0,58.3,11.57804459691252,0.3125,0.0541666666666666,0.2041666666666666,13.235294117647058,12.904411764705882,8.333333333333334,7.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,14.0,0.126535041844376,0.1020528752436647,0.1475197560735571,0.0,0.369453672942045,0.0,0.0,0.0,0.0,143.0,v1,2.3.0,11.57804459691252,13.235294117647058,12.904411764705882,13.036764705882351,0.12599019607843132,0.3125,0.22727272727272727,-0.08522727272727273,recent-form-k-v1-report-only
823446,2026-07-01,554430,Zack Wheeler,,2026-08-14T16:32:52.579056+00:00,10,24,1.0.0,affaab82e9e10ee32ecf9e61e5e0f6a1f7d52fc789053c7f8b321ca28a4043bb,10.0,60.0,63.400000000000006,8.517350157728705,0.2489626556016597,0.0580912863070539,0.1659751037344398,10.384615384615383,9.807692307692308,7.0,6.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,11.0,0.1528022105577093,0.1365556320140003,0.1749566358445851,0.0,0.4139471639471639,0.0,0.0,0.0,0.0,134.0,v1,2.3.0,8.517350157728705,10.384615384615383,9.807692307692308,10.038461538461538,0.17858974358974367,0.2489626556016597,0.4166666666666667,0.16770401106500699,recent-form-k-v1-report-only
824905,2026-07-01,700241,Michael McGreevy,,2026-08-14T16:32:53.884104+00:00,3,22,1.0.0,a6380aadfb7f643add40b8213727587c0fad33d8442dba622ef0656a6a9ac011,10.0,36.0,56.0,5.785714285714286,0.1578947368421052,0.0701754385964912,0.2456140350877192,4.235294117647059,4.344827586206897,2.6666666666666665,2.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,12.0,0.1259043281350954,0.1038705386463057,0.1497742667479509,0.0,0.3992109904390606,0.0,0.0,0.0,0.0,144.0,v1,2.3.0,5.785714285714286,4.235294117647059,4.344827586206897,4.301014198782962,-0.25661482983998185,0.1578947368421052,0.13636363636363635,-0.021531100478468845,recent-form-k-v1-report-only
824905,2026-07-01,625643,Reynaldo López,,2026-08-14T16:32:54.955842+00:00,6,18,1.0.0,520a392fe0e08d00323c0d6f342d33fe8d0d6f1ff9991cdf93862c35a2159248,10.0,15.0,18.1,7.458563535911602,0.1923076923076923,0.0897435897435897,0.2179487179487179,5.625,7.128712871287129,1.6666666666666667,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,11.0,0.0931374473833102,0.0910569929726276,0.0959744306706047,0.0,0.3124745624745624,0.0,0.0,0.0,0.0,138.0,v1,2.3.0,7.458563535911602,5.625,7.128712871287129,6.5272277227722775,-0.12486798679867983,0.1923076923076923,0.3333333333333333,0.14102564102564102,recent-form-k-v1-report-only
824094,2026-07-01,663556,Shane McClanahan,,2026-08-14T16:32:56.137264+00:00,4,20,1.0.0,ea3dffd486ce87a53b2c4529e9fafe6e628fd78339b983462edd6aa5b362b5a5,10.0,48.0,49.5,8.727272727272727,0.2274881516587677,0.0710900473933649,0.2180094786729857,9.545454545454549,8.922413793103448,4.666666666666667,4.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,70.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,17.0,0.1183074458526947,0.1808201058201058,0.0852125082228888,0.0,0.3944444444444444,0.0,0.0,0.0,0.0,118.0,v1,2.3.0,8.727272727272727,9.545454545454549,8.922413793103448,9.171630094043888,0.05091594827586232,0.2274881516587677,0.2,-0.027488151658767696,recent-form-k-v1-report-only
824094,2026-07-01,607625,Seth Lugo,,2026-08-14T16:32:57.124482+00:00,7,26,1.0.0,e14a110d75651a1f7869b4632928e1343acafcd956dce75825c14e5de47030d5,10.0,38.0,52.2,6.551724137931034,0.1637931034482758,0.0818965517241379,0.2629310344827586,3.191489361702128,5.378486055776892,1.6666666666666667,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,11.0,0.0894263503665031,0.0720192159283839,0.1131633518730293,0.0,0.2887736221069554,0.0,0.0,0.0,0.0,139.0,v1,2.3.0,6.551724137931034,3.191489361702128,5.378486055776892,4.503687378146987,-0.31259508438809136,0.1637931034482758,0.2692307692307692,0.10543766578249342,recent-form-k-v1-report-only
824174,2026-07-01,671737,Taj Bradley,,2026-08-14T16:32:58.204888+00:00,11,21,1.0.0,770b131d46ece0d3934325d86421b60d8dbb8471f560360cd4333c21d7110d17,10.0,57.0,54.6,9.395604395604396,0.2375,0.1041666666666666,0.2,8.901098901098901,8.830188679245284,6.0,5.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,6.0,0.123757018931446,0.1137547083282377,0.1570980542754736,0.0,0.3903846153846153,0.0,0.0,0.0,0.0,117.0,v1,2.3.0,9.395604395604396,8.901098901098901,8.830188679245284,8.858552767986732,-0.05715988083416079,0.2375,0.5238095238095238,0.28630952380952385,recent-form-k-v1-report-only
824174,2026-07-01,837227,Tatsuya Imai,,2026-08-14T16:32:59.643268+00:00,2,13,1.0.0,7d6dd8418b72cd43a7772e8fd2ae565f0a3e5e5c942edefe14ee92b2fac3e0da,10.0,54.0,42.7,11.381733021077284,0.2887700534759358,0.1122994652406417,0.1818181818181818,16.229508196721312,13.577586206896552,7.333333333333333,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,10.0,0.0936241748402108,0.086363980091294,0.1052404864384778,0.0,0.3277777777777778,0.0,0.0,0.0,0.0,142.0,v1,2.3.0,11.381733021077284,16.229508196721312,13.577586206896552,14.638355002826456,0.2861270753512133,0.2887700534759358,0.15384615384615385,-0.13492389962978196,recent-form-k-v1-report-only
823767,2026-07-01,671096,Andrew Abbott,,2026-08-14T16:33:00.775346+00:00,3,25,1.0.0,b41ec7ef0acf2540d5bb8ee94edf6cfb58d21505915ca8a3665925c88f325840,10.0,46.0,54.400000000000006,7.610294117647058,0.1982758620689655,0.1077586206896551,0.1896551724137931,10.132450331125828,9.29889298892989,5.666666666666667,5.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,16.0,0.1361624938722065,0.2107067086636979,0.0942313730519926,0.0,0.4050830889540567,0.0,0.0,0.0,0.0,158.0,v1,2.3.0,7.610294117647058,10.132450331125828,9.29889298892989,9.632315925808264,0.26569561923664153,0.1982758620689655,0.12,-0.0782758620689655,recent-form-k-v1-report-only
