Lineage_Version,Total_Rows,Eligible_Rows,Excluded_Rows,Eligibility_Rate,Exclusion_Reason,Rows
calibration-lineage-v1,371,262,109,0.706199460916442,history_semantics,75
calibration-lineage-v1,371,262,109,0.706199460916442,late_capture,9
calibration-lineage-v1,371,262,109,0.706199460916442,probability_semantics,47
calibration-lineage-v1,371,262,109,0.706199460916442,unresolved,25
