Game_Date,Pitcher,Pitcher_ID,Projection,K_Target,Target_Label,Projection_Headroom,Actual_K,Ladder_Win,Target_Probability,Brier,Confidence,Data_Quality,Opponent_K_Pct,Headroom_Bucket,Quality_Bucket,Opponent_K_Bucket,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-12,Rhett Lowder,695076,4.845516739681388,4,4+,0.8455167396813881,4.0,True,0.7146911893864759,0.08140111741370376,HIGH,70,24.300118067490644,0.75-0.99,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Luis Castillo,622491,5.077414760392842,5,5+,0.07741476039284212,10.0,True,0.5781477995191002,0.17795927905057726,HIGH,71,24.350602776478613,0.00-0.24,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Daniel Lynch IV,663738,3.0354843043145308,3,3+,0.03548430431453076,3.0,True,0.585581149144816,0.17174298394413126,MEDIUM,48,19.750322130100702,0.00-0.24,<50,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Eric Lauer,641778,4.161318077633911,4,4+,0.16131807763391137,6.0,True,0.5905227218524004,0.16767164131916665,HIGH,66,21.08398025293156,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Cal Quantrill,615698,4.138202343473262,4,4+,0.138202343473262,6.0,True,0.5966460225586075,0.16269443111779133,HIGH,79,23.321711632958632,0.00-0.24,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,George Klassen,691946,3.858255496642796,3,3+,0.858255496642796,5.0,True,0.7510696755503042,0.0619663064306308,MEDIUM,48,23.32912180234725,0.75-0.99,<50,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Jack Perkins,678022,4.615237274528287,4,4+,0.6152372745282868,2.0,False,0.6874455108675821,0.47258133041199096,HIGH,65,20.02931325524474,0.50-0.74,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Adrian Houser,605288,3.824028402427333,3,3+,0.824028402427333,5.0,True,0.7300883203944719,0.07285231478747725,HIGH,65,21.153666945821605,0.75-0.99,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Bryan King,687911,5.231113000659757,5,5+,0.23111300065975726,1.0,False,0.603973067218526,0.36478346592535404,MEDIUM,46,24.04044665002596,0.00-0.24,<50,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-12,Jackson Kent,800600,4.987131452321712,4,4+,0.9871314523217123,6.0,True,0.7394318022521018,0.06789578567758778,MEDIUM,46,21.592546872408168,0.75-0.99,<50,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Parker Messick,800048,5.693249422713524,5,5+,0.6932494227135244,6.0,True,0.6817082446781169,0.10130964150588552,HIGH,78,22.86229888972531,0.50-0.74,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Keider Montero,672456,4.214743913149588,4,4+,0.2147439131495883,0.0,False,0.6127918225051716,0.3755138177292098,HIGH,72,18.66123766259112,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Braxton Ashcraft,677952,5.249966977526226,5,5+,0.24996697752622588,10.0,True,0.6117813829636738,0.1507136946135977,HIGH,78,20.783078888752524,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Tyler Phillips,663969,3.866392782415895,3,3+,0.866392782415895,6.0,True,0.7371262467118302,0.06910261016780954,HIGH,64,22.46787762178659,0.75-0.99,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Logan Gilbert,669302,5.999279409012194,5,5+,0.9992794090121944,7.0,True,0.7275879909526339,0.07420830267322225,HIGH,78,23.52373323893833,0.75-0.99,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Max Fried,608331,4.8420928252218784,4,4+,0.8420928252218784,4.0,True,0.7082613829048258,0.08511142070460469,HIGH,65,22.912299046781147,0.75-0.99,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Andrew Abbott,671096,4.790875567489774,4,4+,0.7908755674897741,3.0,False,0.7165224071719605,0.5134043599795007,HIGH,79,22.04903618972196,0.75-0.99,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
