game_date,game_pk,pitcher_id,player,team,opponent,Lineup_Source,Lineup_Confirmed,Lineup_Batters,Lineup_Hash,Lineup_Captured_At_UTC,Game_Time_UTC,Resolved_At_UTC,Lineage,Outcome_Lineage,Authentic_Pregame_Pair,Prior_Paired_Starts,OOS_Eligible,Preconfirm_Projection,Confirmed_Projection,Projection_Delta,Opponent_K_Delta,Projection_Delta_Direction,Projection_Delta_Band,Data_Quality,Quality_Band,Starter_History_Games,Starter_History_Band,Actual_Strikeouts,Preconfirm_Absolute_Error,Confirmed_Absolute_Error,Preconfirm_Error,Confirmed_Error,Confirmed_Win,Confirmed_Loss,Report_Only,Production_Authority,Validation_Version
2026-08-09,824564,663436,Davis Martin,CHW,CLE,nan,False,,nan,,2026-08-09 18:10:00+00:00,2026-08-12 04:28:03.987276+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.751240465169813,,,UNKNOWN,UNKNOWN,100,90+,,UNKNOWN,1.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,823751,687570,Connor Prielipp,MIN,MIL,nan,False,,nan,,2026-08-09 18:10:00+00:00,2026-08-12 04:28:04.063882+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.675087136333802,,,UNKNOWN,UNKNOWN,90,90+,,UNKNOWN,7.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,823751,694819,Jacob Misiorowski,MIL,MIN,nan,False,,nan,,2026-08-09 18:10:00+00:00,2026-08-12 04:28:04.140455+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,8.862506734916721,,,UNKNOWN,UNKNOWN,100,90+,,UNKNOWN,9.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,823020,547179,Michael Lorenzen,COL,STL,nan,False,,nan,,2026-08-09 18:15:00+00:00,2026-08-12 04:28:04.223352+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,3.685133871499764,,,UNKNOWN,UNKNOWN,100,90+,,UNKNOWN,1.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,823020,700241,Michael McGreevy,STL,COL,nan,False,,nan,,2026-08-09 18:15:00+00:00,2026-08-12 04:28:04.304648+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.028644369641417,,,UNKNOWN,UNKNOWN,100,90+,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,822862,700249,Cade Povich,BAL,TEX,nan,False,,nan,,2026-08-09 18:35:00+00:00,2026-08-12 04:28:04.388082+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.788521824118583,,,UNKNOWN,UNKNOWN,53,<60,,UNKNOWN,2.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,822862,677958,Kumar Rocker,TEX,BAL,nan,False,,nan,,2026-08-09 18:35:00+00:00,2026-08-12 04:28:04.472920+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.993407060773855,,,UNKNOWN,UNKNOWN,98,90+,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,823190,675512,Troy Melton,DET,SFG,nan,False,,nan,,2026-08-09 20:05:00+00:00,2026-08-12 04:28:04.546466+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.524605848860888,,,UNKNOWN,UNKNOWN,84,80–89,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,823190,657277,Logan Webb,SFG,DET,nan,False,,nan,,2026-08-09 20:05:00+00:00,2026-08-12 04:28:04.646573+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.005043020196597,,,UNKNOWN,UNKNOWN,100,90+,,UNKNOWN,2.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,825050,680736,Justin Wrobleski,LAD,ARI,nan,False,,nan,,2026-08-09 20:10:00+00:00,2026-08-12 04:28:04.727120+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.177799907765031,,,UNKNOWN,UNKNOWN,96,90+,,UNKNOWN,3.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
