Season,Leash,Metric,Evaluated_Starts,Global_v2_MAE,V23_MAE,V24_MAE,Global_v2_Bias,V23_Bias,V24_Bias,Relative_MAE_vs_Global_v2,Relative_MAE_vs_v23,V24_Adjusted_Starts,V24_Win_Share_vs_v23,V24_Status,Candidate_Version
2024,LONG,PITCHES,111,8.755794350623365,8.755794350623365,8.755794350623365,5.066094027637145,5.066094027637145,5.066094027637145,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2024,LONG,BF,111,2.6882439642701583,2.6882439642701583,2.6882439642701583,1.4089108053928696,1.4089108053928696,1.4089108053928696,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2024,LONG,OUTS,111,3.3092869843667874,3.3092869843667874,3.3092869843667874,1.1370498125329473,1.1370498125329473,1.1370498125329473,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2024,NORMAL,PITCHES,1126,7.9788809167435915,7.9788809167435915,7.9788809167435915,1.4611847451239832,1.4611847451239832,1.4611847451239832,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2024,NORMAL,BF,1126,2.5155342362074986,2.5155342362074986,2.5155342362074986,0.40625052468315653,0.40625052468315653,0.40625052468315653,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2024,NORMAL,OUTS,1126,2.7636507700735278,2.7636507700735278,2.7636507700735278,0.3364355748713004,0.3364355748713004,0.3364355748713004,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2024,TIGHT,PITCHES,219,11.283896386942414,10.998735652534528,10.828633710105645,-3.498048474621079,-2.536205411957326,-1.660054475028328,0.04034622981504806,0.015465590573556912,128,0.59375,HELPING,workload-v2.4-tight-residual-bias-candidate
2024,TIGHT,BF,219,3.052570866117816,3.0283000529844317,3.033125595091692,-0.6755642875850337,-0.41267507717575846,-0.14502066215258133,0.006370129271021294,-0.001593482159241332,128,0.46875,MIXED,workload-v2.4-tight-residual-bias-candidate
2024,TIGHT,OUTS,219,2.9186893809962253,2.9310757908120486,2.95633552013554,-0.29966513756099566,-0.02483709112539554,0.14052609854932843,-0.012898302705464734,-0.00861790384358958,128,0.390625,HURTING,workload-v2.4-tight-residual-bias-candidate
2025,LONG,PITCHES,85,8.105351960888434,8.105351960888434,8.105351960888434,5.660996075029934,5.660996075029934,5.660996075029934,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2025,LONG,BF,85,2.14262621251492,2.14262621251492,2.14262621251492,1.1319214559304058,1.1319214559304058,1.1319214559304058,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2025,LONG,OUTS,85,2.6217231627731397,2.6217231627731397,2.6217231627731397,1.1720265535589514,1.1720265535589514,1.1720265535589514,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2025,NORMAL,PITCHES,1515,7.866938257077709,7.866938257077709,7.866938257077709,1.4526439819394295,1.4526439819394295,1.4526439819394295,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2025,NORMAL,BF,1515,2.4623866484821284,2.4623866484821284,2.4623866484821284,0.3677175121920381,0.3677175121920381,0.3677175121920381,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2025,NORMAL,OUTS,1515,2.745258179359237,2.745258179359237,2.745258179359237,0.3125506611560298,0.3125506611560298,0.3125506611560298,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2025,TIGHT,PITCHES,363,11.04172312621222,10.657428540465894,10.394995762867527,-4.044234198401924,-2.949083330988583,-1.8273305763052476,0.05857123530016897,0.02462439946014353,273,0.6190476190476191,HELPING,workload-v2.4-tight-residual-bias-candidate
2025,TIGHT,BF,363,3.0490566438839513,2.999241092110372,3.0070276088026002,-0.8136045587166721,-0.43249521424496745,-0.11172574050667482,0.013784274938170245,-0.0025961623134302747,273,0.4945054945054945,MIXED,workload-v2.4-tight-residual-bias-candidate
2025,TIGHT,OUTS,363,3.0364371107553323,2.9757722072931156,2.984509828202439,-0.8274799253226665,-0.3959372850742955,-0.10067759083876672,0.017101385821218576,-0.002936253281722664,273,0.4725274725274725,MIXED,workload-v2.4-tight-residual-bias-candidate
2026,LONG,PITCHES,46,7.4840504139472515,7.4840504139472515,7.4840504139472515,4.503235946562401,4.503235946562401,4.503235946562401,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2026,LONG,BF,46,2.5520805515636438,2.5520805515636438,2.5520805515636438,0.4399461695739599,0.4399461695739599,0.4399461695739599,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2026,LONG,OUTS,46,2.6443213386925697,2.6443213386925697,2.6443213386925697,-0.22271739101189728,-0.22271739101189728,-0.22271739101189728,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2026,NORMAL,PITCHES,1520,8.252910524733894,8.252910524733894,8.252910524733894,1.1826502965313597,1.1826502965313597,1.1826502965313597,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2026,NORMAL,BF,1520,2.581223679540283,2.581223679540283,2.581223679540283,0.20217230140043116,0.20217230140043116,0.20217230140043116,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2026,NORMAL,OUTS,1520,2.7419110870111174,2.7419110870111174,2.7419110870111174,0.25406123197654856,0.25406123197654856,0.25406123197654856,0.0,0.0,0,,LEARNING,workload-v2.4-tight-residual-bias-candidate
2026,TIGHT,PITCHES,466,10.903717172562617,10.441725732784192,10.090261115241667,-4.179367785694821,-2.933917221255886,-1.7332734444318518,0.07460355440692065,0.03365962931194619,373,0.6541554959785523,HELPING,workload-v2.4-tight-residual-bias-candidate
2026,TIGHT,BF,466,2.9753589487444834,2.9180004543152354,2.883126222237519,-0.7774626578869726,-0.48022580347299126,-0.1451690534007525,0.0309988569768646,0.011951414204251849,373,0.5683646112600537,HELPING,workload-v2.4-tight-residual-bias-candidate
2026,TIGHT,OUTS,466,2.768366662830985,2.712677040250242,2.6905334119529347,-0.6032143087204581,-0.30359691113010806,-0.04215077254580794,0.02811522473632759,0.008163016816504108,373,0.5522788203753352,HELPING,workload-v2.4-tight-residual-bias-candidate
