Season,Metric,Evaluated_Starts,Workload_v1_MAE,Global_v2_MAE,Stabilized_v24_MAE,Stabilized_v24_RMSE,Global_v2_Bias,Stabilized_v24_Bias,Relative_MAE_vs_Workload_v1,Relative_MAE_vs_Global_v2,Stabilized_Adjusted_Starts,Stabilized_Win_Share_vs_Workload_v1,Stabilized_Win_Share_vs_Global_v2,Mean_Earned_TIGHT_Weight,Earned_TIGHT_Starts,Guarded_TIGHT_Starts,Stabilized_Status,Candidate_Version
2024,PITCHES,1251,8.648657984521442,8.506586249791853,8.480573481427276,12.368758888416272,0.966391799798364,1.0539768689037918,0.019434749691222348,0.003057956223651233,139,0.6690647482014388,0.6546762589928058,0.5058729165186798,139,61,MIXED,workload-v2.4-direction-gated-tight-candidate
2024,BF,1251,2.5786046081416267,2.5626920937060107,2.56045181750569,3.5249577431480708,0.3206244219672346,0.3441186942439894,0.007039772820781319,0.0008741885948073864,139,0.5899280575539568,0.5611510791366906,0.5058729165186798,139,61,MIXED,workload-v2.4-direction-gated-tight-candidate
2024,OUTS,1251,2.7731555411435016,2.755083138535911,2.756643547724796,3.6631095506007747,0.2669434118355328,0.29578747238832853,0.005954225492846606,-0.0005663746284310775,139,0.5251798561151079,0.4892086330935252,0.5058729165186798,139,61,MIXED,workload-v2.4-direction-gated-tight-candidate
2025,PITCHES,1720,8.605368496009453,8.421497935670269,8.380075395300045,11.784304839075196,0.6071042177400334,0.7413662293349875,0.026180529144554626,0.004918666570560305,249,0.6907630522088354,0.6626506024096386,0.5746008899715296,249,62,MIXED,workload-v2.4-direction-gated-tight-candidate
2025,BF,1720,2.55774055125089,2.54398009957734,2.539293526877393,3.3750666622860908,0.16545083019943296,0.2119185365254402,0.007212234393545267,0.0018422206607377244,249,0.5742971887550201,0.5461847389558233,0.5746008899715296,249,62,MIXED,workload-v2.4-direction-gated-tight-candidate
2025,OUTS,1720,2.78431201613729,2.775996946082317,2.768956699531918,3.620087673129786,0.10267820854043697,0.1579562098278313,0.005514941039788625,0.0025361146597566815,249,0.5783132530120482,0.5662650602409639,0.5746008899715296,249,62,MIXED,workload-v2.4-direction-gated-tight-candidate
2026,PITCHES,1681,9.172171532305674,9.099692287046675,8.994689041569497,12.588715184081007,-0.2987072813363658,-0.042270554721988825,0.01935010592759395,0.011539208378139248,305,0.7180327868852459,0.7147540983606557,0.5923376951936081,305,63,HELPING,workload-v2.4-direction-gated-tight-candidate
2026,BF,1681,2.712892568992863,2.6860545463875622,2.677196952926966,3.6069819596305153,-0.09137237248455625,-0.05200491054204476,0.01315776985564477,0.0032976223332875235,305,0.6360655737704918,0.6229508196721312,0.5923376951936081,305,63,HELPING,workload-v2.4-direction-gated-tight-candidate
2026,OUTS,1681,2.7634551347679976,2.7526118241651423,2.744779029483063,3.6167063317128187,-0.06042876181555394,-0.022546150006473996,0.006758244434644174,0.002845586367578354,305,0.6229508196721312,0.6163934426229508,0.5923376951936081,305,63,HELPING,workload-v2.4-direction-gated-tight-candidate
