Role,Version,Mode,Reason,Rows,Resolved_Rows,Eligible_Rows,First_Captured_Date,Last_Captured_Date,Diagnostic_Version
MISSING,MISSING,MISSING,MISSING,108,108,0,2026-08-09,2026-08-13,live-role-capture-diagnostic-v1
ESTABLISHED,starter-role-workload-v1,shadow,role_not_eligible,40,15,0,2026-08-13,2026-08-14,live-role-capture-diagnostic-v1
