Challenger,OOS_Starts,Existing_MAE,Candidate_MAE,Relative_MAE_Improvement,Candidate_Win_Share,Existing_Bias,Candidate_Bias,Status,Reason,Report_Only,Live_Projection_Use,Market_Features_Used,Validation_Version
ML_SHADOW,163,1.7958862738501116,2.0174227522110164,-0.12335774352011933,0.4539877300613497,0.2464279237089304,0.09205128544258227,MIXED,guardrail,True,False,False,ml-k-shadow-v1-report-only
SIM_MATH_ML_EQUAL_THIRDS,75,1.8796810723212933,1.8949702573182454,-0.008133925069570905,0.5066666666666667,0.5198377288061261,0.47818773998409864,MIXED,guardrail,True,False,False,ml-k-shadow-v1-report-only
