Season,Game_Date,Pitcher_ID,Team,Team_Starts,League_Starts,Team_Leash_Label,Team_Leash_Version,Team_Leash_Role,Workload_Version,Validation_Version,Production_Authority,Report_Only,Actual_PITCHES,Baseline_PITCHES,Candidate_PITCHES,Multiplier_PITCHES,Actual_BF,Baseline_BF,Candidate_BF,Multiplier_BF,Actual_OUTS,Baseline_OUTS,Candidate_OUTS,Multiplier_OUTS
2024,2024-04-10,669302,136,12,125,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,89.0,92.23772257563199,92.88306876514106,1.0069965538121337,28.0,24.223433689823835,24.49483071881417,1.0112039041395007,23.0,18.08263026607787,18.06708662083689,0.9991404101608967
2024,2024-04-12,682243,136,13,138,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,100.0,82.19003033161484,82.78866956225102,1.0072835990961535,25.0,21.552637762044434,21.891497928829338,1.0157224452304237,19.0,15.665371174976709,15.800606500046024,1.0086327558765626
2024,2024-04-13,676106,136,14,154,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,74.0,73.0734243026284,73.75604276318951,1.0093415419774787,22.0,18.71872767461783,19.02756213312292,1.0164986885793452,18.0,12.291707567863721,12.426771918491166,1.0109882495887363
2024,2024-04-14,554430,143,12,162,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,100.0,95.92733444496865,96.89318304124262,1.0100685440897772,24.0,24.534882777859707,24.725579667467375,1.0077724801595447,15.0,18.301671551927274,18.574230479460017,1.0148925701545572
2024,2024-04-14,622491,136,15,162,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,103.0,97.98410354107835,98.51367280946991,1.0054046447255554,24.0,24.600049765475568,24.957555118994478,1.0145327085484455,18.0,16.894418732290113,17.111531409868338,1.0128511481228566
2024,2024-04-15,605400,143,13,170,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,99.0,91.56727918160497,92.6777072578844,1.0121269091558036,27.0,23.365512561861543,23.56270680863404,1.0084395429481983,22.0,17.014174208487667,17.232140238841318,1.012810849805741
2024,2024-04-15,669923,136,16,170,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,89.0,87.85527344863729,88.59087584937186,1.008372888409079,22.0,23.337030110517347,23.680504062220585,1.0147179803975332,18.0,16.880839045610642,17.131390241576128,1.0148423425689042
2024,2024-04-16,624133,143,14,183,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,112.0,87.57068097078823,88.77503715701116,1.0137529612979106,32.0,23.362350680401946,23.639797450220396,1.011875807088676,27.0,17.05743175718156,17.36980089429382,1.0183127883235261
2024,2024-04-16,669302,136,17,183,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,90.0,92.28630841413433,93.00454492934038,1.007782698512362,23.0,24.659287650162376,24.98200510584005,1.0130870550786388,20.0,18.620543478648134,18.89538817172224,1.014760293832952
2024,2024-04-17,650911,143,15,193,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,97.0,83.4718400003529,84.99960468449423,1.0183027555656479,24.0,22.534363483450754,22.98073388572199,1.019808431802347,18.0,16.39156111623784,16.880707462277446,1.0298413520573735
2024,2024-04-17,669432,146,12,193,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,93.0,85.16017659205559,85.77060720098463,1.0071680289233451,21.0,21.603071787255647,21.65362985970527,1.0023403186800244,17.0,14.25084981598263,14.152703156216406,0.9931129258231217
2024,2024-04-17,682243,136,18,193,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,91.0,87.20234990803547,87.84891989219349,1.0074145935842314,20.0,22.29610783953855,22.57688617663737,1.0125931547837648,18.0,16.140489074267574,16.419363451844863,1.017277938499515
2024,2024-04-20,554430,143,16,218,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,106.0,99.66852889630066,101.46085415849201,1.0179828606084491,26.0,24.856339242538407,25.324231678674487,1.01882386748791,22.0,18.057913441589164,18.57026638806231,1.0283727656647832
2024,2024-04-20,622491,136,19,218,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,96.0,100.27165186758099,100.89926448854087,1.0062591231845737,24.0,24.735956133505283,24.941774783421888,1.0083206264114375,21.0,17.07817846247154,17.35955573629755,1.0164758363688682
2024,2024-04-20,666200,146,13,218,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,104.0,93.0475935108469,93.68061353954079,1.0068031853894222,24.0,22.878684379718585,22.875039535252732,0.9998406881966917,18.0,16.191804795875342,16.080115067945552,0.9931020828537754
2024,2024-04-20,690986,137,12,218,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,74.0,85.405770852988,85.4123106109857,1.0000765727881429,20.0,22.284594098260058,22.373177581550248,1.0039750996989039,12.0,16.114415971993587,16.154991216416555,1.0025179469422587
2024,2024-04-21,605400,143,17,226,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,91.0,95.8527721251959,97.84344790862067,1.020768056460847,29.0,24.166785072200284,24.669690322616084,1.02080977047271,24.0,17.68821196045284,18.218858319266424,1.03
2024,2024-04-21,607625,118,12,226,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,99.0,91.60888248652374,91.68389192126342,1.0008188008924868,25.0,24.425754396690962,24.654694601031917,1.0093729020861673,16.0,18.30156027512001,18.710442044925333,1.0223413612642183
2024,2024-04-21,615698,115,12,226,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,108.0,90.85363793400809,90.99448015307577,1.0015502100110727,27.0,22.858222874676088,22.960879262282763,1.0044910047543725,18.0,15.645351490781692,15.405268571514483,0.9846546803752753
2024,2024-04-21,663567,115,12,226,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,66.0,86.07583988180728,86.20927551050355,1.0015502100110727,17.0,22.213938574476046,22.313701478227355,1.0044910047543725,9.0,15.689553430361604,15.44879221820351,0.9846546803752753
2024,2024-04-21,665795,146,14,226,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,96.0,82.37353128469985,83.18653536331294,1.0098697247275121,25.0,19.875507584240296,19.898284524920218,1.001145980326962,15.0,13.846127748650467,13.784566077531503,0.9955538709279231
2024,2024-04-21,669923,136,20,226,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,88.0,86.52334274370627,87.16096786062988,1.0073693999411506,21.0,23.016367485176094,23.225662537680414,1.0090933138184868,15.0,16.966689386787934,17.32655211419349,1.021209955531206
2024,2024-04-21,676106,136,20,226,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,88.0,76.94464816891812,77.511684054606,1.0073693999411506,24.0,19.83382705307466,20.01418226668986,1.0090933138184868,18.0,13.61372486177872,13.90247136071112,1.021209955531206
2024,2024-04-22,624133,143,18,242,LONGER,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,88.0,95.13927523662308,97.01724925044634,1.0197392087458361,23.0,24.880044557787947,25.494714028127948,1.024705320318552,21.0,18.31122164889878,18.860558298365742,1.03
2024,2024-04-22,663903,118,13,242,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,107.0,86.1154034810445,86.37313484035573,1.0029928601492062,26.0,23.493937164432708,23.739865810681387,1.010467749382636,18.0,16.891073234578634,17.243012828356992,1.0208358337502133
2024,2024-04-22,672282,108,12,242,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,99.0,92.03627570990295,92.09596419464478,1.0006485321606229,29.0,22.504846231751216,22.252274916276352,0.9887770254960231,21.0,16.47083193022759,16.23629156395251,0.9857602598782732
2024,2024-04-22,677960,146,15,242,NEUTRAL,team-leash-v1,CONTEXT_ONLY,workload-v1,team-leash-historical-v1,NONE,True,96.0,83.50955822773972,84.40461979042986,1.0107180732563477,26.0,20.301165653542135,20.355900073243568,1.0026961220175987,17.0,13.66187705388057,13.585339671619248,0.9943977403720244
