Season,Role,Metric,Starts,MAE,RMSE,Bias,Actual_Mean,Projected_Mean,Role_Version
2024,ESTABLISHED,PITCHES,1218,8.40618353415557,12.066727668636686,-0.2318368387772442,89.50164203612479,89.26980519734757,starter-role-backtest-v2-mlb-history
2024,ESTABLISHED,BF,1218,2.545100890010277,3.459280251102284,-0.16975537955278486,23.004926108374384,22.8351707288216,starter-role-backtest-v2-mlb-history
2024,ESTABLISHED,OUTS,1218,2.754435652053827,3.6405159423940225,-0.1494948762033749,16.580459770114942,16.43096489391157,starter-role-backtest-v2-mlb-history
2024,RAMPING,PITCHES,26,8.596835165077724,9.581784663607937,-6.118648080635757,87.0,80.88135191936423,starter-role-backtest-v2-mlb-history
2024,RAMPING,BF,26,3.17235819411488,3.680447792740507,-1.7560213969896272,22.576923076923077,20.82090167993345,starter-role-backtest-v2-mlb-history
2024,RAMPING,OUTS,26,2.9377808998933643,3.445146015980906,-1.3125374283731868,16.115384615384617,14.802847187011427,starter-role-backtest-v2-mlb-history
2024,RESTRICTED,PITCHES,27,16.66860766413562,20.5547008214928,-4.434110608376071,75.70370370370371,71.26959309532764,starter-role-backtest-v2-mlb-history
2024,RESTRICTED,BF,27,4.315386252889887,5.352824260160042,-1.2518162130726078,19.85185185185185,18.600035638779243,starter-role-backtest-v2-mlb-history
2024,RESTRICTED,OUTS,27,3.703677638479336,4.24714851252722,-1.0317084633041784,14.407407407407407,13.37569894410323,starter-role-backtest-v2-mlb-history
2025,ESTABLISHED,PITCHES,1663,8.42008320527499,11.626019129944694,-0.3711487865825245,88.61515333734215,88.24400455075963,starter-role-backtest-v2-mlb-history
2025,ESTABLISHED,BF,1663,2.5171889441363224,3.331166991189788,-0.13286856839449698,22.846061334936863,22.713192766542363,starter-role-backtest-v2-mlb-history
2025,ESTABLISHED,OUTS,1663,2.7603192388699935,3.5990718317052646,-0.027662800975893877,16.411906193625978,16.384243392650085,starter-role-backtest-v2-mlb-history
2025,RAMPING,PITCHES,27,10.295195090904624,12.483950319708503,-4.067667870903556,83.11111111111111,79.04344324020755,starter-role-backtest-v2-mlb-history
2025,RAMPING,BF,27,2.6721054681664604,3.1056589923093796,-1.1079443151457073,21.25925925925926,20.15131494411355,starter-role-backtest-v2-mlb-history
2025,RAMPING,OUTS,27,2.9986048703116057,3.810074396915961,-1.5652506541610227,15.777777777777779,14.212527123616754,starter-role-backtest-v2-mlb-history
2025,RESTRICTED,PITCHES,54,13.275468684816632,16.00150025298018,-8.382156238445043,79.79629629629629,71.41414005785126,starter-role-backtest-v2-mlb-history
2025,RESTRICTED,BF,54,3.3739421798466336,4.310544470554341,-1.3461775496037005,19.962962962962962,18.616785413359263,starter-role-backtest-v2-mlb-history
2025,RESTRICTED,OUTS,54,2.771063088349799,3.5417703964470215,-0.8504912287645533,14.203703703703704,13.35321247493915,starter-role-backtest-v2-mlb-history
2026,ESTABLISHED,PITCHES,1599,9.027147772458123,12.627846368000617,-0.1885944462940133,87.97873671044402,87.79014226415,starter-role-backtest-v2-mlb-history
2026,ESTABLISHED,BF,1599,2.6954281365024233,3.6195918678342935,-0.18419123759128272,22.74108818011257,22.556896942521288,starter-role-backtest-v2-mlb-history
2026,ESTABLISHED,OUTS,1599,2.7720198840134773,3.6496586962528452,-0.09414144383399778,16.248280175109443,16.15413873127545,starter-role-backtest-v2-mlb-history
2026,RAMPING,PITCHES,42,9.099854542681545,10.490792722812765,-5.283481738794687,87.30952380952381,82.02604207072912,starter-role-backtest-v2-mlb-history
2026,RAMPING,BF,42,2.6329853321094925,3.370267020579118,-1.8775615671958534,22.904761904761905,21.02720033756605,starter-role-backtest-v2-mlb-history
2026,RAMPING,OUTS,42,2.7331354837229744,3.3950253923460116,-1.6753617036457233,16.261904761904763,14.58654305825904,starter-role-backtest-v2-mlb-history
2026,RESTRICTED,PITCHES,75,12.82184747186897,15.080982287271986,-7.485964447429583,80.6,73.11403555257041,starter-role-backtest-v2-mlb-history
2026,RESTRICTED,BF,75,3.0571536933792456,3.842353000400025,-1.384480392509809,20.746666666666666,19.362186274156855,starter-role-backtest-v2-mlb-history
2026,RESTRICTED,OUTS,75,2.6580317181890867,3.2859325425657544,-1.2740112035636653,14.92,13.645988796436333,starter-role-backtest-v2-mlb-history
