Evidence_Lane,Evidence_Status,Starts,Observed_Days,Distinct_Opponents,Applied_MAE,Neutralized_MAE,Neutralized_Relative_MAE_vs_Applied,Neutralized_Win_Share_vs_Applied,Applied_Win_Share_vs_Neutralized,Tie_Share,Applied_Bias,Neutralized_Bias,Neutralized_Bias_Abs_Change_vs_Applied,Mean_Original_Reduction_K,Mean_Opponent_K_Delta_PP,Frozen_Delta_Min_PP,Frozen_Delta_Max_PP,Derivation_Cutoff_Date,Reason,Recommended_Action,Report_Only,Production_Authority,Validation_Version
DERIVATION_BACKTEST,DESCRIPTIVE_ONLY,18,6,12,1.728551499040501,1.7280779992578628,0.00027392865234340173,0.4444444444444444,0.5555555555555556,0.0,-0.026538846825210547,0.04431244600147761,0.01777359917626706,0.0708512928266881,-0.6432716764879246,-1.0,-0.25,2026-08-17,These weak suppressive rows motivated the frozen neutralization hypothesis and cannot validate it.,FREEZE_HYPOTHESIS_AND_COLLECT_FORWARD_EVIDENCE,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
FORWARD_OOS,LEARNING,3,2,3,1.6581771027503664,1.6571053897588233,0.0006463199797932117,0.3333333333333333,0.6666666666666666,0.0,0.5828610603490546,0.6321394767735034,0.049278416424448745,0.04927841642444866,-0.47604866742795754,-1.0,-0.25,2026-08-17,"Need 30 forward OOS starts, 10 days, and 12 opponents; have 3, 2, and 3.",KEEP_WEAK_REDUCE_NEUTRALIZATION_FROZEN_AND_LEARN,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
