Metric,Paired_Starts,Preconfirm_MAE,Confirmed_MAE,Relative_MAE_Improvement,Confirmed_Win_Share,Confirmed_Loss_Share,Tie_Share,Preconfirm_Bias,Confirmed_Bias,Mean_Absolute_Projection_Change,Status,Audit_Version
STRIKEOUTS,43,1.939119996626173,1.8878120899735513,0.026459376800760652,0.6744186046511628,0.32558139534883723,0.0,0.5688466639911339,0.5303879344976872,0.12863361098167825,HELPING,lineup-sensitivity-v1-report-only
HITS,42,1.6921365465724874,1.7106629040732606,-0.01094850030767279,0.38095238095238093,0.6190476190476191,0.0,-0.011738460054078784,0.037410283039093196,0.08441309927521014,HURTING,lineup-sensitivity-v1-report-only
