game_date,game_pk,pitcher_id,player,team,opponent,lineup_source,lineup_hash,score_version,formula_id,pitch_mix_whiff_score,baseline_whiff_rate,pitch_mix_whiff_delta,weighted_arsenal_usage_coverage,score_batters,projection,projection_captured_at_utc,actual_strikeouts,resolved_at_utc,k_residual,abs_k_residual,evaluation_version,report_only,production_authority,no_projection_adjustment
2026-08-18,823586,592662,Robbie Ray,SDP,NYM,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2684171806165179,0.2650231124807396,0.0033940681357783,0.7955699974189959,10.0,5.07251983188524,2026-08-18T04:21:46.956114+00:00,4.0,2026-08-19T03:51:01.092855+00:00,-1.0725198318852396,1.0725198318852396,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,823586,804267,Zac Thornton,NYM,SDP,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2479803679973196,0.2520593080724876,-0.004078940075168,0.8497150428336079,9.0,4.438792913443283,2026-08-18T04:21:59.787866+00:00,7.0,2026-08-19T03:51:01.125705+00:00,2.561207086556717,2.561207086556717,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,823667,641816,Tyler Mahle,ATL,MIN,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2034274768174276,0.25,-0.0465725231825723,0.82229506,6.0,4.816865371158722,2026-08-18T04:22:13.339873+00:00,3.0,2026-08-19T03:51:01.193278+00:00,-1.8168653711587224,1.8168653711587224,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,823667,805673,Zebby Matthews,MIN,ATL,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.249616510918738,0.2294520547945205,0.0201644561242174,0.8680084948630137,8.0,4.977978556701439,2026-08-18T04:22:14.514387+00:00,4.0,2026-08-19T03:51:01.220174+00:00,-0.977978556701439,0.977978556701439,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,823749,682243,Bryce Miller,SEA,MIL,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2621005426881521,0.2825112107623318,-0.0204106680741797,0.6786512720213737,11.0,5.450456926115255,2026-08-18T04:22:15.040452+00:00,3.0,2026-08-19T03:51:01.267989+00:00,-2.4504569261152547,2.4504569261152547,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,823749,690986,Kyle Harrison,MIL,SEA,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2216280428012268,0.2445561139028475,-0.0229280711016207,0.6633851490787269,10.0,4.938806909011296,2026-08-18T04:22:27.867034+00:00,8.0,2026-08-19T03:51:01.310626+00:00,3.061193090988704,3.061193090988704,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824075,678022,Jack Perkins,ATH,KCR,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2396063095742462,0.2372881355932203,0.0023181739810259,0.7846969020715631,8.0,4.843276836156122,2026-08-18T04:22:00.479996+00:00,4.0,2026-08-19T03:51:01.162201+00:00,-0.8432768361561216,0.8432768361561216,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824154,664299,Cristian Javier,HOU,LAA,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.266105347444207,0.2916666666666667,-0.0255613192224596,0.8179916634615384,10.0,4.235024000111908,2026-08-18T04:22:44.706418+00:00,5.0,2026-08-19T03:51:01.504090+00:00,0.7649759998880921,0.7649759998880921,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824154,691946,George Klassen,LAA,HOU,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2496219081018888,0.2678868552412645,-0.0182649471393757,0.8638986635555793,9.0,3.978461345383727,2026-08-18T04:22:43.362569+00:00,7.0,2026-08-19T03:51:01.474668+00:00,3.021538654616273,3.021538654616273,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824319,641778,Eric Lauer,LAD,COL,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2535674107206356,0.2561669829222011,-0.0025995722015655,0.8365612258064515,9.0,4.412956933212147,2026-08-18T04:22:45.217987+00:00,6.0,2026-08-19T03:51:01.535744+00:00,1.587043066787853,1.587043066787853,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824319,663372,Ryan Feltner,COL,LAD,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2688110096564446,0.2453703703703703,0.0234406392860742,0.8403142700617283,11.0,4.006191595921354,2026-08-18T04:22:46.434251+00:00,3.0,2026-08-19T03:51:01.566545+00:00,-1.0061915959213543,1.0061915959213543,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824398,656492,Foster Griffin,CLE,SFG,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2200454305379369,0.2371428571428571,-0.0170974266049201,0.7578219485714286,5.0,5.622827687897041,2026-08-18T04:21:39.479635+00:00,6.0,2026-08-19T01:28:52.204323+00:00,0.3771723121029593,0.3771723121029593,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824398,687931,Carson Whisenhunt,SFG,CLE,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.1803068855173008,0.1871838111298482,-0.0068769256125474,0.816488345400356,10.0,3.9576213923483055,2026-08-18T04:21:38.335869+00:00,1.0,2026-08-19T01:28:52.162800+00:00,-2.9576213923483055,2.9576213923483055,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824475,671096,Andrew Abbott,CIN,STL,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2337171218907655,0.2234375,0.0102796218907655,0.8061850171225171,12.0,4.233235195339145,2026-08-18T04:21:41.201941+00:00,6.0,2026-08-19T01:13:27.002008+00:00,1.7667648046608546,1.7667648046608546,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824475,681517,Kyle Leahy,STL,CIN,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.266216400493584,0.2773279352226721,-0.011111534729088,0.7475642759043568,7.0,4.960333000693087,2026-08-18T04:21:39.976561+00:00,6.0,2026-08-19T01:13:26.974043+00:00,1.0396669993069132,1.0396669993069132,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824639,592332,Kevin Gausman,CHC,CHW,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2234303125711119,0.2687224669603524,-0.0452921543892404,0.62708183113069,13.0,5.556759936138189,2026-08-18T04:22:42.026026+00:00,5.0,2026-08-19T04:45:02.394230+00:00,-0.5567599361381887,0.5567599361381887,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824723,518876,Merrill Kelly,ARI,BOS,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.2744129525334984,0.2570888468809074,0.017324105652591,0.793189306999729,7.0,4.323286793085068,2026-08-18T04:21:45.212075+00:00,2.0,2026-08-19T03:51:01.022935+00:00,-2.3232867930850682,2.3232867930850682,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824723,624133,Ranger Suarez,BOS,ARI,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.1437474964793954,0.1841620626151013,-0.0404145661357059,0.6846072591928946,8.0,4.100906627132147,2026-08-18T04:21:46.467986+00:00,3.0,2026-08-19T03:51:01.056801+00:00,-1.1009066271321473,1.1009066271321473,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
2026-08-18,824803,607074,Carlos Rodón,NYY,BAL,ACTIVE_ROSTER,,pitch-mix-whiff-score-v1-preregistered-report-only,ARSENAL_USAGE_X_BATTER_WHIFF_V1,0.274401717132082,0.2714285714285714,0.0029731457035105,0.8928809771428572,11.0,5.753957352784598,2026-08-18T04:21:34.875130+00:00,4.0,2026-08-19T01:28:52.077098+00:00,-1.7539573527845977,1.7539573527845977,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,True,NONE,True
