Form_Bucket,Starts,Mean_Recent_vs_Prior_Divergence,Mean_K_Rate_Residual_vs_Prior,Median_K_Rate_Residual_vs_Prior,Residual_MAE,Validation_Version
COLD,231,-0.16202689343166018,0.008177736901673087,0.004523912106850575,0.08303850783380712,recent-form-k-v1-report-only
NEUTRAL,230,0.015896768783773055,-0.009186280897179228,-0.01803225386916371,0.08854199233414232,recent-form-k-v1-report-only
HOT,231,0.19171906296988175,0.007517575921758535,0.002135383301302668,0.08873192997837184,recent-form-k-v1-report-only
